mono_x	mono_y	tet_x	tet_y	cubic_x	cubic_y
0 0 0 0 0 0
8.001952	0	8.045336	0	8.026557	2.38222
8.051952	0	8.095336	0	8.076557	1.855368
8.101952	0	8.145336	0	8.126557	1.577246
8.151952	0	8.195336	0	8.176557	1.419066
8.201952	0	8.245336	0	8.226557	1.270671
8.251952	0	8.295336	0	8.276557	1.074888
8.301952	0	8.345336	0	8.326557	0.830923
8.351952	0	8.395336	0	8.376557	0.576195
8.401952	0	8.445336	0	8.426557	0.352467
8.451952	0	8.495336	0	8.476557	0.184907
8.501952	0	8.545336	0	8.526557	0.079858
8.551952	0	8.595336	0	8.576557	0.027192
8.601952	0	8.645336	0	8.626557	0.007043
8.651952	0	8.695336	0	8.676557	0.001353
8.701952	0	8.745336	0	8.726557	0.000189
8.751952	0	8.795336	0	8.776557	0.000019
8.801952	0	8.845336	0	8.826557	0.000001
8.851952	0	8.895336	0	8.876557	0
8.901952	0	8.945336	0	8.926557	0
8.951952	0	8.995336	0	8.976557	0
9.001952	0	9.045336	0	9.026557	0
9.051952	0	9.095336	0	9.076557	0
9.101952	0	9.145336	0	9.126557	0
9.151952	0	9.195336	0	9.176557	0
9.201952	0	9.245336	0	9.226557	0
9.251952	0	9.295336	0	9.276557	0
9.301952	0	9.345336	0	9.326557	0
9.351952	0	9.395336	0	9.376557	0
9.401952	0	9.445336	0	9.426557	0
9.451952	0	9.495336	0	9.476557	0
9.501952	0	9.545336	0	9.526557	0
9.551952	0	9.595336	0	9.576557	0
9.601952	0	9.645336	0	9.626557	0
9.651952	0	9.695336	0	9.676557	0
9.701952	0	9.745336	0	9.726557	0
9.751952	0	9.795336	0	9.776557	0
9.801952	0	9.845336	0	9.826557	0
9.851952	0	9.895336	0	9.876557	0
9.901952	0	9.945336	0	9.926557	0
9.951952	0	9.995336	0	9.976557	0
10.001952	0	10.045336	0	10.026557	0
10.051952	0	10.095336	0	10.076557	0
10.101952	0	10.145336	0	10.126557	0
10.151952	0	10.195336	0	10.176557	0
10.201952	0.000002	10.245336	0	10.226557	0
10.251952	0.000024	10.295336	0	10.276557	0
10.301952	0.000239	10.345336	0	10.326557	0
10.351952	0.00174	10.395336	0	10.376557	0
10.401952	0.009277	10.445336	0	10.426557	0
10.451952	0.036704	10.495336	0	10.476557	0
10.501952	0.109904	10.545336	0	10.526557	0
10.551952	0.255805	10.595336	0	10.576557	0
10.601952	0.479087	10.645336	0	10.626557	0
10.651952	0.752474	10.695336	0	10.676557	0
10.701952	1.035928	10.745336	0	10.726557	0
10.751952	1.303553	10.795336	0	10.776557	0
10.801952	1.556385	10.845336	0	10.826557	0
10.851952	1.821258	10.895336	0	10.876557	0
10.901952	2.133936	10.945336	0	10.926557	0
10.951952	2.506859	10.995336	0	10.976557	0
11.001952	2.908855	11.045336	0	11.026557	0
11.051952	3.284685	11.095336	0.000001	11.076557	0
11.101952	3.595437	11.145336	0.000014	11.126557	0
11.151952	3.830521	11.195336	0.000105	11.176557	0
11.201952	3.986835	11.245336	0.000597	11.226557	0
11.251952	4.06392	11.295336	0.002524	11.276557	0
11.301952	4.08739	11.345336	0.008075	11.326557	0
11.351952	4.115891	11.395336	0.019925	11.376557	0
11.401952	4.20517	11.445336	0.039032	11.426557	0.000006
11.451952	4.354064	11.495336	0.063311	11.476557	0.000057
11.501952	4.493573	11.545336	0.090126	11.526557	0.000416
11.551952	4.546779	11.595336	0.121599	11.576557	0.002265
