pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Stoich
-33 5.79911310720406 1.62201012663058 -12.5339415199041 0.13007273220874 1.59308610608257 4.05060194958843 -9.47886784506256 -19.1295455807259 -29.561638061402 -40.6875539335529 -52.31736913721 -11.6307311286489 -24.2615501163752 -21.2567551657334 -32.2511834202083 -25.8251530677159 -20.3912506072955 -11.1688175706877 -9.62833985757854 4.83031702853946 
-32.8 5.77992246378478 1.57365182875893 -12.4855832220324 0.126789327952143 1.54144440395432 3.95060194958854 -9.47230103654879 -19.0746204743405 -29.4583546571449 -40.5359122314242 -52.1173691372096 -11.6274477243923 -24.2099084142469 -21.1567551657335 -32.2577502287221 -25.8800781741013 -20.4945340115525 -11.3204592728164 -9.8283398575789 4.73050769261334 
-32.6 5.76080007102243 1.52546551499044 -12.437396908264 0.123161955489075 1.48963071772277 3.8506019495885 -9.46504629162294 -19.0191794156461 -29.3547272846821 -40.3840985451929 -51.9173691372098 -11.6238203519293 -24.1580947280154 -21.0567551657334 -32.265004973648 -25.9355192327957 -20.5981613840154 -11.4722729590477 -10.0283398575787 4.63072160987495 
-32.4 5.74175183720603 1.47746607355966 -12.3893974668332 0.119160838350607 1.43763015915351 3.75060194958846 -9.45704405734629 -18.9631777399387 -29.2507261675439 -40.2320979866239 -51.71736913721 -11.6198192347908 -24.1060941694461 -20.9567551657334 -32.2730072079246 -25.9915209085031 -20.7021625011536 -11.6242735176167 -10.2283398575785 4.53096162434878 
-32.2 5.7227839287909 1.42966904325167 -12.3416004365252 0.114754898966539 1.38542718946146 3.65060194958843 -9.44823217857787 -18.9065688308623 -29.1463202281595 -40.0798950169315 -51.5173691372097 -11.6154132954067 -24.0538911997541 -20.8567551657334 -32.281819086693 -26.0481298175795 -20.806568440538 -11.7764764873091 -10.4283398575788 4.43123093176375 
-32 5.70390273167563 1.38209051582426 -12.2940219090978 0.109911953821474 1.33300571688898 3.55060194958853 -9.43854628828774 -18.8493044131448 -29.0414772830145 -39.9274735443591 -51.3173691372099 -11.6105703502617 -24.0014697271816 -20.7567551657335 -32.2915049769832 -26.105394235297 -20.9114113856829 -11.9288979598815 -10.6283398575786 4.33153312447563 
-31.8 5.68511480246455 1.33474701319485 -12.2466784064684 0.104598959080252 1.28034921951835 3.45060194958849 -9.42792029880558 -18.7913349210332 -28.9361642882736 -39.7748170469888 -51.1173691372101 -11.6052573555204 -23.948813229811 -20.6567551657334 -32.3021309664653 -26.1633637274086 -21.0167243804239 -12.0815544572518 -10.8283398575784 4.23187224253092 
-31.6 5.6664268096228 1.28765533915765 -12.1995867324312 0.0987823071546266 1.22744089355552 3.35060194958846 -9.41628699495404 -18.7326099431444 -28.8303476363476 -39.6219087210256 -50.9173691372098 -11.5994407035948 -23.8959049038481 -20.5567551657334 -32.3137642703169 -26.2220887052974 -21.1225410323499 -12.234462783215 -11.0283398575788 4.13225283179325 
-31.4 5.64784546487796 1.2408324065235 -12.152763799797 0.0924281724228853 1.17426382618963 3.25060194958842 -9.40357872549028 -18.6730787410465 -28.7239935016156 -39.4687316536594 -50.7173691372094 -11.5930865688631 -23.8427278364822 -20.4567551657334 -32.3264725397806 -26.2816199073953 -21.2288951670819 -12.3876398505812 -11.2283398575791 4.03268001018551 
-31.2 5.6293774457411 1.19429504188137 -12.1062264351549 0.0855029017072517 1.12080119083187 3.15060194958853 -9.38972818405958 -18.6126908349737 -28.6170682309006 -39.3152690183023 -50.5173691372102 -11.5861612981474 -23.7892652011245 -20.3567551657335 -32.3403230812113 -26.3420078134681 -21.3358204377969 -12.5411024859383 -11.4283398575784 3.93315954325737 
