pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Stoich
-32.2 3.03741635123869 -1.67783653919311 -8.17184647958571 -1.25790486992469 -1.97643417895362 -2.70097370288723 -14.3637882320319 -23.6377149329183 -33.0486860946036 -42.4831051054462 -55.267461090225 -14.0307843013878 -20.5547311189917 -29.7158222112318 -10.943330524723 -9.9739449970869 -9.05522212355382 -10.6487578086461 -12.2462206001457 -0.390822486736725 
-32 3.02319378636938 -1.72562225875256 -8.12406076002626 -1.26186290962129 -2.02817793820967 -2.80050318170273 -14.3549311102697 -23.5810720915967 -32.9442575337226 -42.3308908250057 -55.067461090225 -14.0263557404163 -20.5025168384607 -29.6158222111413 -10.9521876463948 -10.0305878383181 -9.15965068434445 -10.8009720889962 -12.4462206000552 -0.404457231689349 
-31.8 3.00891699234639 -1.77359018026738 -8.07609283851145 -1.26551571924093 -2.07979866934413 -2.900091834352 -14.3468027963289 -23.5249758561412 -32.8401933767522 -42.1788587465205 -54.867461090225 -14.0222915833748 -20.4504847599044 -29.5158222110702 -10.9603159602643 -10.0866840737025 -9.26371484124365 -10.9530041674102 -12.646220599984 -0.416751000948185 
-31.6 2.99458919366529 -1.82172946990818 -8.02795354887065 -1.26887685197671 -2.13129909172071 -2.99973154636938 -14.3393599548922 -23.4693937250636 -32.7364719560338 -42.0269980361614 -54.6674610902251 -14.0185701626003 -20.3986240494891 -29.4158222110141 -10.967758801645 -10.142266204724 -9.36743626190594 -11.1048648777133 -12.8462205999279 -0.427822264638952 
-31.4 2.98021360570158 -1.87002932448773 -7.97965369429109 -1.27196103397174 -2.18268312829529 -3.09941543752352 -14.3325593732104 -23.4142932888023 -32.633071665193 -41.8752978907409 -54.4674610902251 -14.0151698717151 -20.3469239040244 -29.3158222109698 -10.9745593832825 -10.197366640941 -9.47083655270249 -11.2565650230894 -13.0462205998836 -0.437781819081849 
-31.2 2.9657934089879 -1.91847905788559 -7.93120396089324 -1.27478378399069 -2.2339556117121 -3.19913765433818 -14.3263583068019 -23.3596424889958 -32.5299711319887 -41.7237476241388 -54.2674610902251 -14.0120693384757 -20.2953736373871 -29.2158222109347 -10.980760449656 -10.2520174407123 -9.57393708587168 -11.4081152896564 -13.2462205998485 -0.446732646316738 
-31 2.95133172387447 -1.96706818618537 -7.88261483259345 -1.27736107328371 -2.28512202930491 -3.29889320023078 -14.320714820001 -23.3054098738952 -32.4271493885883 -41.5723367524386 -54.0674610902251 -14.0092475950475 -20.2439627656591 -29.1158222109069 -10.9864039364289 -10.3062500557851 -9.67675882924424 -11.5595261613288 -13.4462205998206 -0.454769965855038 
-30.8 2.93683158710122 -2.01578650638901 -7.83389651238982 -1.27970902880534 -2.33618830503016 -3.39867779615967 -14.3155881008156 -23.2515648345061 -32.3245860289956 -41.4210550726423 -53.8674610902252 -14.0066842354326 -20.1926810858406 -29.0158222108848 -10.9915306555922 -10.360095095152 -9.77932218881481 -11.710807841103 -13.6462205997984 -0.46198142796781 
-30.6 2.92229593128886 -2.06462416532358 -7.78505885345524 -1.28184368080012 -2.38716061595951 -3.49848776602359 -14.3109387365539 -23.1980778113099 -32.2222613468647 -41.2698927315769 -53.6674610902252 -14.0043595532841 -20.1415187447575 -28.9158222108671 -10.9961800198363 -10.4135821183306 -9.881646870928 -11.8619701821508 -13.8462205997808 -0.46844740726858 
-30.4 2.90772756792335 -2.11357171681104 -7.73611130196778 -1.28378075396079 -2.43804524060764 -3.59831994215919 -14.3067289425038 -23.1449204657723 -32.1201564498397 -41.1188402830643 -53.4674610902252 -14.0022546562448 -20.0904662962307 -28.8158222108529 -11.0003898138723 -10.4667394638541 -9.98375176793895 -12.0130226306492 -14.0462205997667 -0.474241363762198 
