pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Stoich
-33 1.7502685546875 -11.2923861412692 -11.2874153856256 -17.4794733420667 -23.35974703039 -33.0614885432737 -28.8831133107231 -37.4538360926655 -46.8689906596714 -59.9849685026889 -79.0568767478058 -28.9527340972772 -28.2714261245952 -28.0351668594415 -46.2457577441065 -48.562602795129 -57.0658899719611 -68.1767561245464 -80.8251399346547 0 
-32.8 1.7502685546875 -11.2923861412692 -11.2874153856256 -17.5794733420667 -23.45974703039 -33.1614885432737 -28.6831133107239 -37.2538360926663 -46.6689906596722 -59.7849685026897 -78.8568767478066 -28.8527340972772 -28.1714261245952 -27.9351668594414 -46.4457577441057 -48.7626027951282 -57.2658899719603 -68.3767561245457 -81.025139934654 0 
-32.6 1.7502685546875 -11.2923861412692 -11.2874153856256 -17.6794733420668 -23.5597470303901 -33.2614885432738 -28.4831133107229 -37.0538360926653 -46.4689906596712 -59.5849685026887 -78.6568767478056 -28.7527340972771 -28.0714261245951 -27.8351668594414 -46.6457577441067 -48.9626027951292 -57.4658899719613 -68.5767561245466 -81.2251399346549 0 
-32.4 1.7502685546875 -11.2923861412692 -11.2874153856256 -17.7794733420668 -23.6597470303901 -33.3614885432738 -28.2831133107219 -36.8538360926643 -46.2689906596702 -59.3849685026877 -78.4568767478046 -28.6527340972771 -27.9714261245951 -27.7351668594413 -46.8457577441077 -49.1626027951302 -57.6658899719623 -68.7767561245476 -81.4251399346559 0 
-32.2 1.7502685546875 -11.2923861412692 -11.2874153856256 -17.8794733420664 -23.7597470303897 -33.4614885432734 -28.0831133107245 -36.6538360926669 -46.0689906596727 -59.1849685026903 -78.2568767478071 -28.5527340972775 -27.8714261245954 -27.6351668594417 -47.0457577441052 -49.3626027951276 -57.8658899719597 -68.9767561245451 -81.6251399346534 0 
-32 1.7502685546875 -11.2923861412692 -11.2874153856256 -17.9794733420665 -23.8597470303898 -33.5614885432735 -27.8831133107235 -36.4538360926659 -45.8689906596718 -58.9849685026893 -78.0568767478062 -28.4527340972774 -27.7714261245954 -27.5351668594417 -47.2457577441061 -49.5626027951286 -58.0658899719607 -69.176756124546 -81.8251399346543 0 
-31.8 1.7502685546875 -11.2923861412692 -11.2874153856256 -18.0794733420665 -23.9597470303898 -33.6614885432735 -27.6831133107225 -36.2538360926649 -45.6689906596708 -58.7849685026883 -77.8568767478052 -28.3527340972774 -27.6714261245953 -27.4351668594416 -47.4457577441071 -49.7626027951296 -58.2658899719617 -69.376756124547 -82.0251399346553 0 
-31.6 1.7502685546875 -11.2923861412692 -11.2874153856256 -18.1794733420666 -24.0597470303899 -33.7614885432736 -27.4831133107233 -36.0538360926657 -45.4689906596716 -58.5849685026891 -77.656876747806 -28.2527340972773 -27.5714261245953 -27.3351668594416 -47.6457577441063 -49.9626027951288 -58.4658899719609 -69.5767561245462 -82.2251399346545 0 
-31.4 1.7502685546875 -11.2923861412692 -11.2874153856256 -18.2794733420666 -24.1597470303899 -33.8614885432736 -27.2831133107241 -35.8538360926665 -45.2689906596724 -58.3849685026899 -77.4568767478067 -28.1527340972773 -27.4714261245953 -27.2351668594415 -47.8457577441055 -50.162602795128 -58.6658899719601 -69.7767561245454 -82.4251399346538 0 
-31.2 1.7502685546875 -11.2923861412692 -11.2874153856256 -18.3794733420667 -24.25974703039 -33.9614885432737 -27.0831133107231 -35.6538360926655 -45.0689906596714 -58.1849685026889 -77.2568767478058 -28.0527340972772 -27.3714261245952 -27.1351668594415 -48.0457577441065 -50.362602795129 -58.8658899719611 -69.9767561245464 -82.6251399346547 0 
