pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Ii{0} Ii{-1} Ii{1} IsubO{1} IsubO{2} IsubO{3} IsubZr{-3} IsubZr{-4} IsubZr{-5} Stoich
-33.7 3.19639957667302 -1.1436763581661 -8.70600666061272 -1.5736787863417 -1.75804791434363 -1.94842725725023 -13.7271475079241 -23.5352343898375 -33.4803657325498 -43.4489449244194 -56.7674610902252 -13.712463940059 -20.7705709386899 -30.465822211957 -11.5799712495562 -10.076425540893 -8.62354248633294 -9.68291799039822 -10.7462206008708 -19.7638107756644 -15.9677884511893 -19.4549294365273 -3.00000003421338 -10.1053011968569 -15.0907667261217 -23.4984266635797 -26.9453945159897 -26.2535913920177 -0.470527224722389 
-33.6 3.19110866695793 -1.1614530341864 -8.68822998459242 -1.58739786414121 -1.78954366816343 -1.99769968709033 -13.6982542120049 -23.488564417898 -33.4159190845901 -43.3667216004394 -56.6674610902249 -13.6980172919362 -20.7383476145468 -30.4158222117936 -11.6088645453119 -10.1230955126691 -8.68798913412928 -9.76514131421485 -10.8462206007077 -19.7323150229189 -15.954069374464 -19.4056570077615 -3.00000003545086 -10.0875245220741 -15.055213375319 -23.4202609390581 -26.8850054674884 -26.2109790195367 -0.496372519517327 
-33.5 3.18582745983537 -1.17919711092735 -8.67048590785147 -1.60123456997345 -1.82112445073662 -2.04702454640447 -13.6692305189683 -23.4417966481205 -33.3514072380716 -43.28446567718 -56.5674610902245 -13.6835054452776 -20.7060916911472 -30.3658222116531 -11.637888238208 -10.1698632823061 -8.75250098050723 -9.84739723733376 -10.9462206005676 -19.7007342414223 -15.9402326697084 -19.3563321495239 -3.00000003666818 -10.0697804465504 -15.0197252230544 -23.3419123879245 -26.8244009930958 -26.168118621885 -0.521856583930869 
-33.4 3.1805560893136 -1.19690813814092 -8.6527748806379 -1.6151854119839 -1.85278631996063 -2.09639744284205 -13.640074627823 -23.3949297297616 -33.2868292924991 -43.2021767043939 -56.4674610902249 -13.6689274995839 -20.67380271824 -30.3158222115323 -11.6670441292325 -10.2167302005442 -8.81707892595888 -9.92968620999897 -11.0462206004463 -19.6690723738456 -15.9262818293452 -19.3069592547337 -3.00000003843613 -10.0520694211052 -14.9843031703952 -23.2633836021097 -26.7635832344946 -26.1250118904974 -0.546985455448372 
-33.3 3.17529464877656 -1.21458580207087 -8.63509721670795 -1.62924702688254 -1.88452559878923 -2.14581438560061 -13.6107852835432 -23.3479627215519 -33.2221846203594 -43.1198543683243 -56.3674610902253 -13.6542828273399 -20.641480382066 -30.2658222114284 -11.6963334734084 -10.26369720865 -8.88172359799467 -10.0120085459647 -11.146220600342 -19.6373330968861 -15.9122202163157 -19.2575423138442 -3.0000000404093 -10.034391759148 -14.9489478445081 -23.1846773170443 -26.7025546133592 -26.0816609332919 -0.571765736507948 
-33.2 3.17004319624928 -1.23222990776165 -8.61745311101717 -1.64341617733931 -1.91633885493678 -2.19527174743893 -13.5813617063059 -23.3008950386238 -33.1574728317406 -43.0374984740147 -56.2674610902249 -13.6395710386321 -20.6091244876675 -30.215822211339 -11.7257570505563 -10.3107648914887 -8.94643538652412 -10.0943644401849 -11.246220600253 -19.6055198423888 -15.8980510675092 -19.2080849536562 -3.00000004214878 -10.0167476551967 -14.9136596348664 -23.1057963797084 -26.641317781714 -26.0380682073376 -0.596204506522299 
-33.1 3.16480175913922 -1.24984036312826 -8.59984265565056 -1.65768974940707 -1.94822288237115 -2.24476623023991 -13.551803527772 -23.2537264047233 -33.0926937424735 -42.9551089293809 -56.1674610902245 -13.6247919492885 -20.5767349429572 -30.1658222112621 -11.7553152290133 -10.3579335253123 -9.01121447571441 -10.1767539847418 -11.3462206001766 -19.5736358161214 -15.8837774966084 -19.1585904720221 -3.00000004339278 -9.99913720107412 -14.8784387253772 -23.0267437196173 -26.5798755769895 -25.9942364579797 -0.620309239489962 
-33 3.15957033849894 -1.26741716463426 -8.58226585414456 -1.67206474997117 -1.98017468444125 -2.29429483381602 -13.5221107337964 -23.2064568092417 -33.0278473454859 -42.8726857308873 -56.0674610902249 -13.6099455522344 -20.5443117443971 -30.115822211196 -11.7850080229228 -10.4052031207278 -9.07606087263589 -10.2591771831693 -11.44622060011 -19.541684015766 -15.869402497759 -19.1090618701607 -3.00000004517339 -9.98156040134911 -14.8432851241458 -22.9475223238464 -26.5182309827246 -25.9501686652208 -0.644087727238058 
-32.9 3.15434891286392 -1.28496038439722 -8.5647226343816 -1.68653830430206 -2.01219145853509 -2.34385482767282 -13.4922836128486 -23.159086468531 -32.9629337850122 -42.7902289506507 -55.9674610902253 -13.5950319917034 -20.5118549641032 -30.0658222111392 -11.8148351438137 -10.4525734613817 -9.14097443305271 -10.3416339633491 -11.5462206000528 -19.5096672434359 -15.8549289451919 -19.0595018780677 -3.00000004699422 -9.9640171834066 -14.8081986864403 -22.8681352108625 -26.4563870895036 -25.9058679917628 -0.667548008196966 
-32.8 3.14913744168925 -1.30247015864212 -8.5472128601367 -1.7011076536013 -2.04427058207924 -2.39344372546186 -13.4623227098279 -23.1116157912653 -32.8979533335016 -42.7077387248952 -55.8674610902249 -13.5800515401443 -20.4793647382992 -30.0158222110902 -11.8447960467855 -10.5000441385984 -9.20595488451435 -10.4241241890556 -11.6462206000042 -19.4775881221033 -15.8403595981042 -19.0099129824902 -3.00000004925453 -9.94650741142201 -14.7731791402112 -22.7885854123132 -26.3943470651993 -25.8613377417033 -0.690698301792392 
