pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Ii{0} Ii{-1} Ii{1} IsubO{1} IsubO{2} IsubO{3} IsubZr{-3} IsubZr{-4} IsubZr{-5} Stoich
-32.4 2.34801197178831 -6.65777916384461 -15.9220223630502 -27.0488501998708 -28.2945169107695 -33.3616514462286 -9.74479396433625 -22.9501237237033 -36.9998852681337 -54.7504700885758 -78.4569853111173 -19.3835201424279 -23.3368191471705 -27.7351668594413 -65.3841856538061 -63.066423727404 -66.9351039268114 -73.4113631019722 -81.4251399346559 -18.618080593348 -16.0286257552859 -16.252189900427 -3.12490680276735 -14.6128224638926 -22.2419709018506 -3.60215581759497 -14.7011200211642 -18.0888326361934 -2.82297023713934 
-32.2 2.33833958216692 -6.73277409167685 -15.847027435218 -26.9988603423058 -28.3195219810368 -33.4616514443281 -9.84477367945641 -22.9751085109912 -36.9498751275894 -54.6254650201993 -78.2569853149085 -19.4335099980928 -23.3118140750031 -27.6351668594417 -65.2842059424746 -63.0414389439047 -66.9851140711444 -73.5363681741374 -81.6251399346534 -18.5930805877928 -16.078620677563 -16.1521949670396 -3.12491186747945 -14.5378326007724 -22.0919861108982 -3.60214059932774 -14.7760997307292 -18.2388072735906 -2.82301568366716 
-32 2.32866708866068 -6.80776982498086 -15.772031701914 -26.9488688740972 -28.3445262461321 -33.5616514427274 -9.94475661585776 -23.0000957140886 -36.8998665973828 -54.5004607566886 -78.0569853180938 -19.4835014647007 -23.286809808307 -27.5351668594417 -65.1842230092595 -63.0164517439936 -67.0351226045374 -73.6613724408344 -81.8251399346543 -18.5680805894587 -16.1286164125328 -16.0521992354014 -3.12491613424018 -14.4628411342292 -21.9419989110518 -3.60212780409094 -14.8510826687964 -18.3887859449619 -2.82305392991755 
-31.8 2.31899450777105 -6.88276623581246 -15.6970352910824 -26.8988760510874 -28.3695298339539 -33.6616514413809 -10.0447422618641 -23.0250849492633 -36.8498594217259 -54.3754571702002 -77.8569853207738 -19.5334942863639 -23.2618062191386 -27.4351668594416 -65.0842373659341 -62.9914625114998 -67.0851297828752 -73.7863760300038 -82.0251399346553 -18.5430805911246 -16.1786128250303 -15.9522028262357 -3.12491972372831 -14.3878483128857 -21.7920096788759 -3.60211704093154 -14.9260683164686 -18.5387680034657 -2.82308611101648 
-31.6 2.30932185337947 -6.95776321654185 -15.622038310353 -26.8488820884985 -28.3945328520944 -33.7616514402507 -10.14473018704 -23.0500758937098 -36.799853385443 -54.2504541531878 -77.6569853230321 -19.5834882478226 -23.2368031998679 -27.3351668594416 -64.9842494430158 -62.9664715693109 -67.1351358214156 -73.9113790492736 -82.2251399346545 -18.5180805855694 -16.2286098002045 -15.8522058399512 -3.12492273631318 -14.312854344742 -21.6420187300028 -3.60210797982285 -15.0010562360893 -18.6887529038158 -2.82311318133399 
-31.4 2.29964913716153 -7.03276067664226 -15.5470408502525 -26.7988871673445 -28.4195353910409 -33.8616514392976 -10.2447200293403 -23.0750682759097 -36.7498483075425 -54.125451615187 -77.4569853249308 -19.6334831680234 -23.2118006599683 -27.2351668594415 -64.8842596026133 -62.9414791890088 -67.185140901214 -74.0363815891724 -82.4251399346538 -18.4930805872353 -16.2786072619708 -15.7522083815166 -3.12492527692599 -14.2378594252536 -21.4920263504139 -3.60210036368866 -15.0760460800555 -18.8387402078824 -2.82313596459963 
-31.2 2.28997636893528 -7.10775853998946 -15.4720429869054 -26.7488914398483 -28.4445375268919 -33.9616514384958 -10.344711484325 -23.1000618675472 -36.6998440358328 -54.00044948013 -77.2569853265266 -19.6834788947178 -23.1867985233155 -27.1351668594415 -64.7842681492255 -62.9164855989682 -67.2351451745206 -74.1613837258262 -82.6251399346547 -18.4680805889011 -16.3286051269839 -15.6522105198353 -3.12492741444237 -14.1628636994227 -21.3420327612368 -3.60209395699199 -15.151037536706 -18.9887295278801 -2.82315513444428 
-31 2.28030355696242 -7.18275674252621 -15.3970447843686 -26.6988950341002 -28.4695393236805 -34.0616514378212 -10.4447042958145 -23.1250564765 -36.6498404422488 -53.8754476840093 -77.0569853278692 -19.7334752997912 -23.1617967258522 -27.0351668594414 -64.6842753390795 -62.891490991359 -67.2851487694481 -74.2863855232904 -82.8251399346557 -18.443080590567 -16.3786033311865 -15.5522123189644 -3.12492921289728 -14.0878672953409 -21.1920381546173 -3.60208856761064 -15.2260303498614 -19.1387205435723 -2.82317126406279 
-30.8 2.27063070818681 -7.25775523041326 -15.3220462964816 -26.6488980577584 -28.4945408352258 -34.1616514372535 -10.5446982484939 -23.1500519412923 -36.5998374191541 -53.7504461730276 -76.8569853290004 -19.7834722755653 -23.1367952137392 -26.9351668594414 -64.5842813875305 -62.866495527697 -67.3351517936731 -74.4113870354026 -83.0251399346549 -18.4180805922328 -16.4286018207394 -15.4522138327432 -3.12493072610802 -14.0128703206655 -21.0420426920548 -3.60208403406885 -15.3010243042067 -19.2887129858046 -2.82318483539938 
-30.6 2.26095782845409 -7.33275395832644 -15.2470475685684 -26.5989006014572 -28.5195421068377 -34.2616514367786 -10.6446931611003 -23.1750481259855 -36.5498348759341 -53.6254449018944 -76.656985329954 -19.8334697313916 -23.1117939416523 -26.8351668594413 -64.484286475877 -62.8414993439567 -67.385154337846 -74.5363883074886 -83.2251399346541 -18.3930805866777 -16.4786005430974 -15.3522150992749 -3.12493199216522 -13.9378728588086 -20.8920465022848 -3.60208021320686 -15.3760192112579 -19.4387066207689 -2.82319624711295 
