pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Stoich
-33 3.15872377143737 -1.27026150505839 -8.57942151372043 -1.66623475432155 -1.97718902921575 -2.29415351901464 -13.5334880954929 -23.2149898305141 -33.0335360263341 -42.8755300713114 -56.0674610902249 -13.6156342330879 -20.5471560848265 -30.1158222112014 -11.7736306612316 -10.3966700994608 -9.07037219179296 -10.2563328427505 -11.4462206001154 -0.651482545733236 
-32.8 3.14822181997495 -1.30554651251107 -8.54413650626775 -1.69481337666134 -2.04105265900823 -2.3933021562598 -13.4746281253036 -23.1208448528721 -32.9041060412395 -42.7108150787641 -55.8674610902249 -13.5862042478865 -20.4824410921724 -30.0158222110945 -11.8324906313141 -10.4908150769959 -9.19980217678074 -10.421047835191 -11.6462206000085 -0.698970248154136 
-32.6 3.13775390918136 -1.34071714833887 -8.50896587043995 -1.72372750715655 -2.10513742533124 -2.49255755841062 -13.4153106686149 -23.0263567603556 -32.7744473128951 -42.545985714592 -55.667461090225 -13.5565455194629 -20.4176117279211 -29.9158222110154 -11.8918080879237 -10.5853031694333 -9.32946090504597 -10.585877199284 -11.8462205999293 -0.745327637062549 
-32.4 3.12731899600351 -1.37577691704625 -8.47390610173258 -1.75295430471272 -2.16942399159478 -2.59190389338153 -13.3555497434444 -22.9315360664777 -32.6445668503099 -42.3810454832994 -55.467461090225 -13.526665056819 -20.3526714965698 -29.8158222109567 -11.9515690130355 -10.6801238632525 -9.45934136757256 -10.750817430518 -12.0462205998707 -0.790626685225432 
-32.2 3.1169158619617 -1.41072991254524 -8.43895310623359 -1.7824723904146 -2.23389507279565 -2.69132797008139 -13.2953617254404 -22.8363950529747 -32.5144728413079 -42.2159984787984 -55.267461090225 -13.4965710477736 -20.2876244920253 -29.7158222109133 -12.0117570309961 -10.7752648767121 -9.58943537653109 -10.9158644349755 -12.2462205998272 -0.834939320188875 
-32 3.10654317078698 -1.44558062450237 -8.40410239427646 -1.8122617634441 -2.29853515778228 -2.79081876702515 -13.2347645732689 -22.7409471888461 -32.3841742652222 -42.0508491907555 -55.067461090225 -13.4662724716556 -20.2224752039503 -29.6158222108811 -12.0723541831353 -10.8707127408084 -9.71973395258458 -11.0810137229861 -12.4462205997949 -0.878336245839826 
-31.8 3.09619951371491 -1.48033378615828 -8.36934923262054 -1.84230372084185 -2.36333027683595 -2.89036704773473 -13.1737772198926 -22.6452066738139 -32.2536805885341 -41.8856023524115 -54.8674610902251 -13.4357787949436 -20.1572283655823 -29.5158222108572 -12.1333415364877 -10.9664532558168 -9.85022762924883 -11.2462605613063 -12.646220599771 -0.920886033021862 
-31.6 3.08588344482015 -1.51499425560878 -8.33468876317004 -1.87258078111313 -2.42826780655773 -2.98996504690701 -13.1124190976946 -22.5491880821654 -32.1230015274351 -41.720262821862 -54.6674610902251 -13.4050997338269 -20.0918888350151 -29.4158222108395 -12.194699658668 -11.0624718474475 -9.9809066903301 -11.4116000918381 -12.8462205997533 -0.962654446072039 
-31.4 3.07559350833799 -1.54956692400858 -8.30011609477025 -1.90307661160604 -2.49333630545043 -3.08960621419951 -13.0507097712938 -22.4529060873648 -31.9921468642347 -41.5548354902618 -54.4674610902251 -13.3742450706133 -20.0264615034017 -29.3158222108264 -12.2564089850556 -11.158753842235 -10.1117613535173 -11.5770274234251 -13.0462205997401 -1.00370397151566 
-31.2 3.06532825955651 -1.58405664537649 -8.26562637340233 -1.93377595955595 -2.55852537476826 -3.18928500488525 -12.9886686567655 -22.3563752514686 -31.8611263069705 -41.3893252116298 -54.2674610902251 -13.3432245133394 -19.9609512247599 -29.2158222108166 -12.3184500995742 -11.2552846781214 -10.2427819107717 -11.7425377020474 -13.2462205997303 -1.04409351607514 
