pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Xei{-1} Xei{0} Xei{1} XesubO{1} XesubO{2} XesubO{3} XesubZr{-3} XesubZr{-4} XesubZr{-5} Stoich
-33 3.15981204355194 -1.26660507131742 -8.5830779474614 -1.67366743154403 -1.98096527269726 -2.29427332875518 -13.518862360529 -23.2040205292912 -33.0262231588522 -42.8718736375705 -56.0674610902249 -13.6083213655992 -20.5434996510788 -30.1158222111945 -11.7882563961887 -10.4076394006769 -9.07768505926808 -10.2599892764847 -11.4462206001085 -18.7025505354729 -15.0267711055328 -19.6914203865896 -3.14080637976742 -3.55766466213171 -13.007134381432 -19.9155732464334 -15.18125202173 -20.4998860839034 -0.645204814084705 
-32.8 3.14941384870326 -1.30154147185621 -8.54814154692261 -1.70294238324645 -2.04517662493848 -2.39342108153519 -13.4586079626842 -23.1088297309076 -32.8960959599298 -42.7068100381093 -55.8674610902249 -13.5781941665712 -20.478436051512 -30.015822211089 -11.8485107939279 -10.5028301989549 -9.20781225808489 -10.4250528758403 -11.6462206000029 -18.6832344492818 -14.972518618803 -19.6022314993209 -3.15076524538474 -3.53268712720948 -12.9472204459714 -19.7661299614255 -15.0667451372609 -20.4203155999731 -0.692010676490581 
-32.6 3.13905975429225 -1.33632970143105 -8.51335331734777 -1.73262040257387 -2.10964287384074 -2.4926755600123 -13.3977608809836 -23.0131944196321 -32.7656724190795 -42.5415982676841 -55.667461090225 -13.5477706256428 -20.4132242810087 -29.9158222110108 -11.9093578755504 -10.5984655101522 -9.33823579885707 -10.5902646461873 -11.8462205999248 -18.6640517853323 -14.9185477252786 -19.5134723762217 -3.16126060084039 -3.50839425309105 -12.8881393422778 -19.6165237567038 -14.951927162114 -20.3402858544011 -0.737637529663439 
-32.4 3.1287496733712 -1.37097005217336 -8.47871296660546 -1.76268507621683 -2.174347898226 -2.59202093513986 -13.3363222839528 -22.9171154718591 -32.6349531205641 -42.3762386184265 -55.467461090225 -13.5170513270696 -20.3478646316932 -29.815822210953 -11.9707964725234 -10.6945444578675 -9.46895509731463 -10.7556242953872 -12.046220599867 -18.6450301880503 -14.8648857772543 -19.4251700774551 -3.17230367725954 -3.48479697876713 -12.8299017172119 -19.4667828609643 -14.8368266171168 -20.2598256601462 -0.782155449605964 
-32.2 3.11848342735902 -1.40546312408929 -8.44421989468953 -1.79312201655129 -2.2392779104764 -2.69144401930619 -13.2742945716166 -22.8205946876069 -32.503939264396 -42.2107316903424 -55.267461090225 -13.4860374708587 -20.2823577035664 -29.7158222109103 -12.0328241848168 -10.7910652420769 -9.59996895343995 -10.9211312234284 -12.2462205998242 -18.6261938983248 -14.8115564156129 -19.3373476438978 -3.1839043279109 -3.46190455750332 -12.7725162240318 -19.3169327151134 -14.7214695431819 -20.1789616581272 -0.825634266285634 
-32 3.10826080988045 -1.43980961056929 -8.40987340820954 -1.82391881920019 -2.30442119960529 -2.79093379491508 -13.2116805175366 -22.7236341470469 -32.372632237356 -42.0450781768225 -55.0674610902251 -13.454730443787 -20.2167041900147 -29.6158222108786 -12.0954382388652 -10.8880257826052 -9.73127598044828 -11.0867847369167 -12.4462205997925 -18.6075636250672 -14.7585796558753 -19.2500243976802 -3.1960708573343 -3.43972460044596 -12.7159897804948 -19.1669954148476 -14.605878729396 -20.0977173308213 -0.86814234608809 
-31.8 3.09808163868729 -1.47401012394036 -8.37567289483847 -1.85506502729915 -2.36976792107532 -2.89048102975618 -13.1484825710209 -22.6262356871601 -32.2410332640982 -41.8792786901935 -54.8674610902251 -13.4231314705057 -20.1509047033624 -29.5158222108552 -12.1586361853574 -10.9854242424685 -9.86287495368268 -11.2525842235222 -12.646220599769 -18.5891564191669 -14.7059719366039 -19.1632161650377 -3.20880985955597 -3.41826308929732 -12.6603277559747 -19.0169892357128 -14.4900730636323 -20.0161121784287 -0.909745642671746 
-31.6 3.08794579835376 -1.50806505201613 -8.34161796676269 -1.88655210452177 -2.43530992637372 -2.99007796313035 -13.084702283324 -22.5284004713875 -32.1091431202498 -41.7133336182693 -54.6674610902251 -13.3912413266399 -20.0849596314208 -29.4158222108378 -12.2224164730369 -11.0832594582238 -9.99476509751376 -11.4185292954291 -12.8462205997516 -18.5709855476418 -14.653746137003 -19.0769354373611 -3.22212606527122 -3.39752436693604 -12.605534105538 -18.8669282203566 -14.3740669763519 -19.9341610192241 -0.950506983775976 
-31.4 3.07785327546299 -1.5419744398753 -8.30770857890352 -1.91837341527419 -2.50104062498531 -3.08971804960111 -13.0203398347607 -22.430128634965 -31.9769618959681 -41.5472430061285 -54.4674610902251 -13.3590601023454 -20.0188690192671 -29.315822210825 -12.2867789215874 -11.1815312946335 -10.1269463217826 -11.584619907557 -13.0462205997388 -18.5530603710167 -14.6019115725188 -18.9911914850177 -3.23602219941102 -3.37751111321743 -12.5516114639599 -18.7168218194628 -14.2578699633172 -19.8518733940485 -0.99048555796387 
-31.2 3.06780418817652 -1.57573789051248 -8.27394512826634 -1.9505242140051 -2.5669548743534 -3.18939574960639 -12.9553936373095 -22.3314189868766 -31.8444887972425 -41.3810064567658 -54.2674610902252 -13.3265870036103 -19.9526324698948 -29.2158222108155 -12.3517251190291 -11.2802409427124 -10.2594194204987 -11.7508564569103 -13.2462205997292 -18.5353862322397 -14.5504739831046 -18.9059904449663 -3.25049885937484 -3.3582243225433 -12.498561222649 -18.5666745819697 -14.1414861764614 -19.7692530578298 -1.02973656935073 
-31 3.0577988117293 -1.60935447917895 -8.24032853959988 -1.98300164523778 -2.63304889425254 -3.28910635817199 -12.8898599919754 -22.232268752876 -31.7117219745755 -41.2146230454322 -54.0674610902252 -13.2938201809362 -19.8862490585542 -29.1158222108085 -12.4172587643562 -11.3793911767059 -10.3921862431587 -11.9172398682368 -13.4462205997222 -18.5179643470656 -14.499435509264 -18.8213353824593 -3.26555440544006 -3.33966327994283 -12.4463835913816 -18.4164858741356 -14.0249140572937 -19.6862975273286 -1.0683110292549 
-30.8 3.04783760049031 -1.64282267926188 -8.20686033951695 -2.01580475152286 -2.69932020062055 -3.38884586462293 -12.8237327923071 -22.1326733531248 -31.5786583747414 -41.0480912455152 -53.8674610902252 -13.2607565810968 -19.819717258632 -29.0158222108033 -12.4833859640193 -11.4789865764519 -10.5252498429876 -12.0837716681486 -13.646220599717 -18.5007917074446 -14.4487946695601 -18.7372263426724 -3.28118487210972 -3.32182554652879 -12.395077657885 -18.2662496346857 -13.9081460179267 -19.6029976880446 -1.10625565372209 
-30.6 3.03792120824801 -1.67614029412856 -8.17354272465026 -2.04893449464411 -2.76576755860849 -3.48861083747754 -12.7570032517739 -22.0326261977249 -31.4452936044748 -40.8814088603819 -53.6674610902253 -13.2273918108264 -19.7530348734948 -28.9158222107994 -12.5501155045487 -11.579033731848 -10.6586146132503 -12.2504540532781 -13.8462205997131 -18.4838609933206 -14.3985463405694 -18.653660398815 -3.29738390111044 -3.3047069606636 -12.3446414571528 -18.1159541502989 -13.7911681484067 -19.5193374333912 -1.14361284543488 
-30.4 3.02805050721508 -1.70930439327302 -8.14037862550581 -2.08239378873329 -2.83239095184212 -3.58839832985564 -12.6896596483518 -21.9321184951583 -31.3116218027637 -40.7145729595264 -53.4674610902253 -13.1937200091122 -19.6861989726362 -28.8158222107964 -12.617459107968 -11.6795414344117 -10.7922864149585 -12.4172899541307 -14.0462205997102 -18.4671604818871 -14.3486817299915 -18.5706316890926 -3.31414268376918 -3.28830164417749 -12.2950720415222 -17.9655818371572 -13.6739599344094 -19.4352933185384 -1.18042073533506 
-30.2 3.01822660630569 -1.74231125090733 -8.10737176787149 -2.11618754519586 -2.89919156593901 -3.68820580158684 -12.6216870788883 -21.8311390680605 -31.1776355180316 -40.54757981716 -53.2674610902246 -13.1597337243788 -19.6192058302684 -28.7158222107943 -12.6854316774293 -11.7805208615074 -10.9262726996885 -12.584283096495 -14.2462205997088 -18.4506739773778 -14.2991883678479 -18.4881314693147 -3.33144993572462 -3.27260203849862 -12.2463655782094 -17.815109047918 -13.5564940028045 -19.3508342445678 -1.21671326627722 
-30 3.00845086982008 -1.7751562831839 -8.07452673559492 -2.15032273398828 -2.96617178700801 -3.78803105493241 -12.5530672079954 -21.7296741648911 -31.0433255825856 -40.3804248494374 -53.0674610902254 -13.1254237889304 -19.5520508625435 -28.6158222107927 -12.7540515483207 -11.8819857646753 -11.060582635133 -12.7514380642161 -14.4462205997065 -18.4343807321546 -14.250050090348 -18.4061481595383 -3.34929187929533 -3.25759894979275 -12.1985174572266 -17.6645058672502 -13.4387358544133 -19.2659211284532 -1.25252030437354 
-29.8 2.99872493679868 -1.80783398316876 -8.04184903561006 -2.18480846050839 -3.03333521351297 -3.88787218142223 -12.4837780079341 -21.6277072648449 -30.9086809825546 -40.2131025494215 -52.8674610902247 -13.0907791888989 -19.4847285625272 -28.5158222107916 -12.8233407483808 -11.9839526647203 -11.1952272351629 -12.9187603642308 -14.6462205997061 -18.4182553699462 -14.2012470281548 -18.3246673973602 -3.36765224360818 -3.24328161412075 -12.1515224215701 -17.513735905012 -13.3206435921599 -19.1805065661847 -1.28786776461252 
-29.6 2.98905074154027 -1.84033785190338 -8.00934516687544 -2.21965605939637 -3.10068668113557 -3.98772751777946 -12.4137934828734 -21.5252188710496 -30.7736887200246 -40.045606418157 -52.6674610902255 -13.0557869263673 -19.4172324312609 -28.4158222107907 -12.8933252734407 -12.0864410585148 -11.330219497692 -13.0862564954946 -14.8462205997044 -18.4022678105545 -14.1527556000285 -18.2436721004993 -3.38651228310533 -3.22963778488328 -12.1053747235977 -17.3627560830912 -13.2021676389738 -19.0945344817332 -1.32277774099126 
