pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Csi{0} Csi{-1} Csi{1} CssubZr{-5} CssubZr{-4} CssubZr{-3} CssubO{1} CssubO{2} CssubO{3} Stoich
-33 3.15874011020401 -1.2702066092131 -8.57947640956572 -1.66634520476605 -1.97724458381497 -2.29415417776857 -13.5332685915835 -23.21482522245 -33.0334263141153 -42.8754752549379 -56.0674611696967 -13.6155244413973 -20.5471011889812 -30.1158222112012 -11.7738502446127 -10.3968347869965 -9.07048198348344 -10.2563877385957 -11.4462206001153 -18.8109292983676 -22.392805197534 -16.5628437076414 -17.6631720730657 -12.4188888802701 -6.73757228405916 -11.1209636689619 -5.00870710415238 -7.80983186641249 -0.651451571880466 
-32.8 3.14823919796436 -1.30548812503061 -8.54419489374821 -1.69493082629453 -2.04111172116096 -2.39330283093207 -13.4743946801693 -23.1206697952183 -32.9039893710661 -42.7107567960712 -55.8674611950125 -13.5860874729255 -20.4823827046919 -30.0158222110944 -11.8327241812358 -10.4909902394372 -9.19991895174158 -10.4211062226714 -11.6462206000084 -18.7849881547305 -22.4021455697144 -16.5016210481868 -17.6136385339387 -12.3340738253256 -6.61747571329719 -11.158889662778 -5.01135158215024 -7.77719482859322 -0.698936102323777 
-32.6 3.1377722952052 -1.34065537401145 -8.50902764476737 -1.7238517489267 -2.10519989277397 -2.49255825152592 -13.4150637094191 -23.0261715754872 -32.7743239023542 -42.5459240783785 -55.6674612283389 -13.556421970808 -20.4175499535936 -29.9158222110153 -11.8920551852333 -10.5854884924155 -9.32958445370074 -10.5859389736114 -11.8462205999293 -18.7595583822125 -22.4118830461773 -16.441024026688 -17.5640450397305 -12.2493130821365 -6.49754772112727 -11.1975480619517 -5.01484273234391 -7.74551872980566 -0.745290451796583 
-32.4 3.12733831004016 -1.3757120247327 -8.47397099404612 -1.75308480428467 -2.16948959885319 -2.59190460832639 -13.3552903560316 -22.9313415713785 -32.6444372475242 -42.3809807728272 -55.4674612720664 -13.5265352721919 -20.3526066042562 -29.8158222109567 -11.9518285822896 -10.6803185401931 -9.45947115219959 -10.7508823228315 -12.0462205998706 -18.7349330654323 -22.4223143801183 -16.3813420591864 -17.5147030203426 -12.1649144120274 -6.37809240029687 -11.2372124513097 -5.01945047097986 -7.71506981772074 -0.790586808862798 
-32.2 3.11693595442193 -1.4106624048433 -8.43902061393552 -1.7826081470398 -2.23396332171892 -2.69132871130273 -13.2950919335737 -22.83619276881 -32.5143380648451 -42.2159312100375 -55.2674613291661 -13.4964360323697 -20.2875569843234 -29.7158222109133 -12.0120270618038 -10.7754673998178 -9.58957039193492 -10.9159319426774 -12.2462205998271 -18.7114836919013 -22.4338153866979 -16.3229423055449 -17.4660056045078 -12.081266616082 -6.25949422424094 -11.2782368006876 -5.02552444024791 -7.68619340687781 -0.834897413619018 
-32 3.10656379573425 -1.44551132772256 -8.40417169105627 -1.81240113021657 -2.29860522777495 -2.790819540238 -13.234487699153 -22.74073961151 -32.3840359846659 -42.050780206979 -55.0674614032284 -13.466133878096 -20.2224059071704 -29.6158222108811 -12.0726313702545 -10.8709206311478 -9.71987254614417 -11.0810830197659 -12.4462205997949 -18.6896787764653 -22.4468593941412 -16.2662884672297 -17.4184453775625 -11.9988574662575 -6.14223615153714 -11.3210737913402 -5.0335125080205 -7.65933255177153 -0.878293410637891 
-31.8 3.09622029594266 -1.48026396093926 -8.36941905783956 -1.84244418365476 -2.36340091442983 -2.89036786010959 -13.1734983272109 -22.6449976063512 -32.2535413462904 -41.8855329353868 -54.8674614984195 -13.4356391445055 -20.1571585403632 -29.5158222108572 -12.1336208373638 -10.9666627314738 -9.85036727968686 -11.2463303865253 -12.646220599771 -18.6701026860078 -22.4620359369004 -16.2119597435554 -17.3726325484035 -11.9182920038818 -6.0269180559447 -11.3662933875611 -5.04397947102542 -7.63504688155936 -0.920843973778825 
-31.6 3.0859038422193 -1.51492572335711 -8.33475729542171 -1.87271870589517 -2.4283371990881 -2.98996590718571 -13.112145497758 -22.5489830144804 -32.1228649920017 -41.7201948186803 -54.6674616192951 -13.4049626693235 -20.0918203027634 -29.4158222108395 -12.1949737876747 -11.0626774442025 -9.98104375483343 -11.4116686240897 -12.8462205997533 -18.6534711598179 -22.4800661731283 -16.1606664549477 -17.3293099551963 -11.8403076482567 -5.91427193790178 -11.4145981460476 -5.05762246709331 -7.61402811520979 -0.962615663302417 
-31.4 3.07561277358946 -1.54950219560605 -8.30018082317278 -1.90320698687394 -2.49340195231581 -3.08960713266236 -13.0504515378519 -22.4527125823254 -31.9920180875978 -41.5547714420275 -54.4674617703933 -13.3741156138082 -20.0263967749992 -29.3158222108263 -12.2566678986657 -11.1589480274425 -10.1118908103224 -11.5770921518276 -13.0462205997401 -18.640638468986 -22.5018099545453 -16.1132572918668 -17.2893597767204 -11.7657809975318 -5.80516881492797 -11.4668302084561 -5.07527805725365 -7.59710723312081 -1.00367196962014 
-31.2 3.06534540887924 -1.58399902618233 -8.26568399259649 -1.93389218613083 -2.55858398214898 -3.18928599307182 -12.988439045307 -22.3562032592043 -31.8610119339004 -41.3892684577537 -54.2674619555433 -13.3431092749511 -19.9608936055657 -29.2158222108166 -12.3186805763508 -11.2554575357039 -10.24289714916 -11.7425953212416 -13.2462205997303 -18.6325883545108 -22.5282566706464 -16.0707103468153 -17.2537940002863 -11.6957183905215 -5.70060937734133 -11.5239621238242 -5.09791314204468 -7.58524548733593 -1.04407299282323 
