distance	O_AE_s1	O_pp_s1	O_AE_s2	O_pp_s2	O_AE_p1	O_pp_p1	O_AE_p2	O_pp_p2
5.27E-02	0.3435514926	-0.1041646034	0.280969099	-9.30E-02	3.43E-02	6.41E-03	4.03E-02	7.11E-03
5.29E-02	0.3443264146	-0.1046000753	0.2815996653	-9.34E-02	3.45E-02	6.46E-03	4.06E-02	7.17E-03
5.31E-02	0.3450999847	-0.1050373401	0.2822290812	-9.38E-02	3.48E-02	6.52E-03	4.09E-02	7.23E-03
5.33E-02	0.3458721701	-0.1054764049	0.2828573193	-9.42E-02	3.51E-02	6.57E-03	4.12E-02	7.29E-03
5.36E-02	0.3466429379	-0.105917277	0.2834843524	-9.46E-02	3.53E-02	6.63E-03	4.15E-02	7.35E-03
5.38E-02	0.347412255	-0.1063599635	0.2841101526	-9.50E-02	3.56E-02	6.68E-03	4.18E-02	7.42E-03
5.40E-02	0.3481800879	-0.1068044716	0.2847346924	-9.54E-02	3.59E-02	6.74E-03	4.21E-02	7.48E-03
5.42E-02	0.3489464031	-0.1072508087	0.2853579436	-9.58E-02	3.61E-02	6.79E-03	4.25E-02	7.54E-03
5.45E-02	0.3497111665	-0.1076989821	0.2859798779	-9.62E-02	3.64E-02	6.85E-03	4.28E-02	7.60E-03
5.47E-02	0.3504743441	-0.108148999	0.2866004671	-9.66E-02	3.67E-02	6.91E-03	4.31E-02	7.67E-03
5.49E-02	0.3512359014	-0.1086008669	0.2872196823	-9.70E-02	3.70E-02	6.97E-03	4.34E-02	7.73E-03
5.52E-02	0.3519958038	-0.109054593	0.2878374949	-9.74E-02	3.72E-02	7.03E-03	4.37E-02	7.80E-03
5.54E-02	0.3527540163	-0.1095101848	0.2884538756	-9.78E-02	3.75E-02	7.08E-03	4.41E-02	7.86E-03
5.56E-02	0.3535105039	-0.1099676498	0.2890687952	-9.82E-02	3.78E-02	7.14E-03	4.44E-02	7.93E-03
5.59E-02	0.354265231	-0.1104269954	0.2896822243	-9.86E-02	3.81E-02	7.20E-03	4.47E-02	7.99E-03
5.61E-02	0.3550181621	-0.110888229	0.2902941331	-9.90E-02	3.84E-02	7.26E-03	4.51E-02	8.06E-03
5.63E-02	0.3557692612	-0.1113513582	0.2909044917	-9.94E-02	3.87E-02	7.33E-03	4.54E-02	8.13E-03
5.66E-02	0.3565184922	-0.1118163905	0.2915132701	-9.98E-02	3.89E-02	7.39E-03	4.57E-02	8.20E-03
5.68E-02	0.3572658185	-0.1122833335	0.2921204377	-0.1002449098	3.92E-02	7.45E-03	4.61E-02	8.27E-03
5.70E-02	0.3580112036	-0.1127521947	0.2927259642	-0.1006628463	3.95E-02	7.51E-03	4.64E-02	8.34E-03
5.73E-02	0.3587546105	-0.1132229818	0.2933298188	-0.1010824912	3.98E-02	7.57E-03	4.68E-02	8.41E-03
5.75E-02	0.3594960019	-0.1136957024	0.2939319703	-0.1015038511	4.01E-02	7.64E-03	4.71E-02	8.48E-03
5.78E-02	0.3602353405	-0.1141703642	0.2945323878	-0.1019269327	4.04E-02	7.70E-03	4.75E-02	8.55E-03
5.80E-02	0.3609725885	-0.1146469749	0.2951310396	-0.1023517428	4.07E-02	7.77E-03	4.78E-02	8.62E-03
5.82E-02	0.3617077079	-0.1151255422	0.2957278943	-0.1027782881	4.10E-02	7.83E-03	4.82E-02	8.69E-03
5.85E-02	0.3624406605	-0.1156060739	0.2963229199	-0.1032065754	4.13E-02	7.90E-03	4.86E-02	8.76E-03
5.87E-02	0.3631714079	-0.1160885777	0.2969160844	-0.1036366114	4.16E-02	7.96E-03	4.89E-02	8.84E-03
5.90E-02	0.3638999111	-0.1165730614	0.2975073555	-0.104068403	4.20E-02	8.03E-03	4.93E-02	8.91E-03
5.92E-02	0.3646261313	-0.1170595329	0.2980967007	-0.1045019569	4.23E-02	8.10E-03	4.96E-02	8.99E-03
5.95E-02	0.3653500291	-0.117548	0.2986840872	-0.10493728	4.26E-02	8.16E-03	5.00E-02	9.06E-03
5.97E-02	0.366071565	-0.1180384706	0.2992694822	-0.1053743793	4.29E-02	8.23E-03	5.04E-02	9.14E-03
6.00E-02	0.3667906992	-0.1185309526	0.2998528524	-0.1058132615	4.32E-02	8.30E-03	5.08E-02	9.21E-03
6.02E-02	0.3675073916	-0.1190254541	0.3004341644	-0.1062539337	4.35E-02	8.37E-03	5.11E-02	9.29E-03
6.05E-02	0.3682216018	-0.1195219828	0.3010133847	-0.1066964026	4.39E-02	8.44E-03	5.15E-02	9.37E-03
6.07E-02	0.3689332893	-0.1200205469	0.3015904794	-0.1071406754	4.42E-02	8.51E-03	5.19E-02	9.45E-03
6.10E-02	0.3696424132	-0.1205211543	0.3021654145	-0.107586759	4.45E-02	8.58E-03	5.23E-02	9.52E-03
6.12E-02	0.3703489323	-0.1210238132	0.3027381556	-0.1080346604	4.48E-02	8.66E-03	5.27E-02	9.60E-03
6.15E-02	0.3710528053	-0.1215285315	0.3033086682	-0.1084843866	4.52E-02	8.73E-03	5.31E-02	9.68E-03
6.18E-02	0.3717539904	-0.1220353174	0.3038769177	-0.1089359447	4.55E-02	8.80E-03	5.35E-02	9.77E-03
6.20E-02	0.3724524458	-0.1225441791	0.3044428691	-0.1093893418	4.58E-02	8.87E-03	5.39E-02	9.85E-03
6.23E-02	0.3731481291	-0.1230551246	0.3050064872	-0.1098445849	4.62E-02	8.95E-03	5.43E-02	9.93E-03
6.25E-02	0.3738409981	-0.1235681622	0.3055677366	-0.1103016811	4.65E-02	9.02E-03	5.47E-02	1.00E-02
6.28E-02	0.3745310098	-0.1240833001	0.3061265816	-0.1107606377	4.69E-02	9.10E-03	5.51E-02	1.01E-02
6.31E-02	0.3752181213	-0.1246005465	0.3066829865	-0.1112214617	4.72E-02	9.18E-03	5.55E-02	1.02E-02
6.33E-02	0.3759022893	-0.1251199098	0.3072369151	-0.1116841604	4.76E-02	9.25E-03	5.59E-02	1.03E-02
6.36E-02	0.3765834702	-0.1256413981	0.3077883312	-0.1121487409	4.79E-02	9.33E-03	5.63E-02	1.04E-02
6.39E-02	0.3772616202	-0.1261650199	0.3083371981	-0.1126152105	4.83E-02	9.41E-03	5.67E-02	1.04E-02
6.41E-02	0.3779366953	-0.1266907835	0.3088834792	-0.1130835765	4.86E-02	9.49E-03	5.71E-02	1.05E-02
6.44E-02	0.3786086509	-0.1272186973	0.3094271374	-0.113553846	4.90E-02	9.57E-03	5.75E-02	1.06E-02
6.47E-02	0.3792774426	-0.1277487696	0.3099681355	-0.1140260265	4.93E-02	9.65E-03	5.80E-02	1.07E-02
6.49E-02	0.3799430254	-0.128281009	0.3105064361	-0.1145001252	4.97E-02	9.73E-03	5.84E-02	1.08E-02
6.52E-02	0.380605354	-0.1288154239	0.3110420015	-0.1149761495	5.01E-02	9.81E-03	5.88E-02	1.09E-02
6.55E-02	0.3812643831	-0.1293520228	0.3115747938	-0.1154541067	5.04E-02	9.89E-03	5.93E-02	1.10E-02
6.58E-02	0.3819200669	-0.1298908143	0.3121047749	-0.1159340042	5.08E-02	9.97E-03	5.97E-02	1.11E-02
6.60E-02	0.3825723594	-0.1304318068	0.3126319064	-0.1164158495	5.12E-02	1.01E-02	6.01E-02	1.12E-02
6.63E-02	0.3832212144	-0.1309750089	0.3131561497	-0.1168996499	5.16E-02	1.01E-02	6.06E-02	1.13E-02
6.66E-02	0.3838665852	-0.1315204294	0.313677466	-0.1173854129	5.19E-02	1.02E-02	6.10E-02	1.13E-02
6.69E-02	0.384508425	-0.1320680767	0.3141958163	-0.117873146	5.23E-02	1.03E-02	6.15E-02	1.14E-02
6.72E-02	0.3851466868	-0.1326179596	0.3147111612	-0.1183628566	5.27E-02	1.04E-02	6.19E-02	1.15E-02
6.74E-02	0.3857813232	-0.1331700868	0.3152234612	-0.1188545524	5.31E-02	1.05E-02	6.24E-02	1.16E-02
6.77E-02	0.3864122865	-0.133724467	0.3157326767	-0.1193482408	5.35E-02	1.06E-02	6.28E-02	1.17E-02
6.80E-02	0.3870395288	-0.1342811089	0.3162387677	-0.1198439294	5.39E-02	1.07E-02	6.33E-02	1.18E-02
6.83E-02	0.3876630019	-0.1348400213	0.3167416938	-0.1203416258	5.43E-02	1.07E-02	6.37E-02	1.19E-02
6.86E-02	0.3882826573	-0.1354012131	0.3172414148	-0.1208413376	5.47E-02	1.08E-02	6.42E-02	1.20E-02
6.89E-02	0.3888984463	-0.1359646931	0.3177378899	-0.1213430724	5.51E-02	1.09E-02	6.47E-02	1.21E-02
6.92E-02	0.3895103199	-0.13653047	0.3182310783	-0.1218468379	5.55E-02	1.10E-02	6.51E-02	1.22E-02
6.94E-02	0.3901182288	-0.1370985529	0.3187209388	-0.1223526418	5.59E-02	1.11E-02	6.56E-02	1.23E-02
6.97E-02	0.3907221233	-0.1376689507	0.3192074301	-0.1228604917	5.63E-02	1.12E-02	6.61E-02	1.24E-02
7.00E-02	0.3913219538	-0.1382416722	0.3196905106	-0.1233703953	5.67E-02	1.13E-02	6.66E-02	1.25E-02
7.03E-02	0.3919176699	-0.1388167265	0.3201701385	-0.1238823605	5.71E-02	1.14E-02	6.71E-02	1.26E-02
7.06E-02	0.3925092215	-0.1393941226	0.3206462717	-0.1243963949	5.75E-02	1.15E-02	6.76E-02	1.27E-02
7.09E-02	0.3930965577	-0.1399738695	0.3211188679	-0.1249125064	5.79E-02	1.16E-02	6.80E-02	1.29E-02
7.12E-02	0.3936796276	-0.1405559763	0.3215878847	-0.1254307028	5.84E-02	1.17E-02	6.85E-02	1.30E-02
7.15E-02	0.3942583801	-0.1411404521	0.3220532794	-0.1259509918	5.88E-02	1.18E-02	6.90E-02	1.31E-02
7.18E-02	0.3948327637	-0.141727306	0.3225150088	-0.1264733813	5.92E-02	1.19E-02	6.95E-02	1.32E-02
7.21E-02	0.3954027265	-0.1423165471	0.3229730299	-0.1269978793	5.96E-02	1.20E-02	7.00E-02	1.33E-02
7.24E-02	0.3959682165	-0.1429081846	0.3234272992	-0.1275244935	6.01E-02	1.21E-02	7.05E-02	1.34E-02
7.27E-02	0.3965291815	-0.1435022278	0.323877773	-0.1280532319	6.05E-02	1.22E-02	7.11E-02	1.35E-02
7.30E-02	0.3970855688	-0.1440986858	0.3243244075	-0.1285841025	6.09E-02	1.23E-02	7.16E-02	1.36E-02
7.33E-02	0.3976373256	-0.1446975679	0.3247671586	-0.1291171132	6.14E-02	1.24E-02	7.21E-02	1.37E-02
7.36E-02	0.3981843988	-0.1452988835	0.3252059819	-0.129652272	6.18E-02	1.25E-02	7.26E-02	1.39E-02
7.39E-02	0.3987267349	-0.1459026418	0.3256408328	-0.1301895868	6.23E-02	1.26E-02	7.31E-02	1.40E-02
7.43E-02	0.3992642803	-0.1465088522	0.3260716665	-0.1307290657	6.27E-02	1.27E-02	7.37E-02	1.41E-02
7.46E-02	0.3997969811	-0.147117524	0.326498438	-0.1312707168	6.32E-02	1.28E-02	7.42E-02	1.42E-02
7.49E-02	0.400324783	-0.1477286668	0.326921102	-0.1318145481	6.36E-02	1.29E-02	7.47E-02	1.43E-02
7.52E-02	0.4008476316	-0.1483422898	0.327339613	-0.1323605677	6.41E-02	1.30E-02	7.53E-02	1.44E-02
7.55E-02	0.401365472	-0.1489584026	0.3277539254	-0.1329087836	6.45E-02	1.31E-02	7.58E-02	1.46E-02
7.58E-02	0.4018782493	-0.1495770146	0.3281639932	-0.1334592041	6.50E-02	1.32E-02	7.63E-02	1.47E-02
7.61E-02	0.4023859082	-0.1501981355	0.3285697701	-0.1340118372	6.55E-02	1.33E-02	7.69E-02	1.48E-02
7.65E-02	0.4028883931	-0.1508217746	0.3289712098	-0.1345666912	6.60E-02	1.35E-02	7.74E-02	1.49E-02
7.68E-02	0.4033856482	-0.1514479417	0.3293682658	-0.1351237742	6.64E-02	1.36E-02	7.80E-02	1.51E-02
7.71E-02	0.4038776174	-0.1520766462	0.329760891	-0.1356830944	6.69E-02	1.37E-02	7.86E-02	1.52E-02
7.74E-02	0.4043642442	-0.1527078979	0.3301490386	-0.1362446601	6.74E-02	1.38E-02	7.91E-02	1.53E-02
7.78E-02	0.4048454722	-0.1533417064	0.330532661	-0.1368084795	6.79E-02	1.39E-02	7.97E-02	1.54E-02
7.81E-02	0.4053212443	-0.1539780814	0.330911711	-0.1373745609	6.83E-02	1.40E-02	8.03E-02	1.56E-02
7.84E-02	0.4057915035	-0.1546170325	0.3312861406	-0.1379429125	6.88E-02	1.41E-02	8.08E-02	1.57E-02
7.87E-02	0.4062561922	-0.1552585696	0.3316559019	-0.1385135428	6.93E-02	1.43E-02	8.14E-02	1.58E-02
7.91E-02	0.4067152528	-0.1559027025	0.3320209468	-0.1390864599	6.98E-02	1.44E-02	8.20E-02	1.60E-02
7.94E-02	0.4071686274	-0.1565494408	0.3323812267	-0.1396616724	7.03E-02	1.45E-02	8.26E-02	1.61E-02
7.97E-02	0.4076162578	-0.1571987945	0.3327366932	-0.1402391885	7.08E-02	1.46E-02	8.32E-02	1.62E-02
8.01E-02	0.4080580853	-0.1578507734	0.3330872973	-0.1408190166	7.13E-02	1.47E-02	8.38E-02	1.64E-02
8.04E-02	0.4084940514	-0.1585053875	0.33343299	-0.1414011651	7.18E-02	1.49E-02	8.44E-02	1.65E-02
8.07E-02	0.4089240971	-0.1591626465	0.3337737219	-0.1419856426	7.24E-02	1.50E-02	8.50E-02	1.66E-02
8.11E-02	0.409348163	-0.1598225604	0.3341094436	-0.1425724574	7.29E-02	1.51E-02	8.56E-02	1.68E-02
8.14E-02	0.4097661896	-0.1604851393	0.3344401053	-0.143161618	7.34E-02	1.52E-02	8.62E-02	1.69E-02
8.18E-02	0.4101781172	-0.1611503931	0.3347656572	-0.1437531328	7.39E-02	1.54E-02	8.68E-02	1.70E-02
8.21E-02	0.4105838858	-0.1618183318	0.3350860489	-0.1443470105	7.44E-02	1.55E-02	8.74E-02	1.72E-02
8.24E-02	0.4109834351	-0.1624889655	0.3354012302	-0.1449432595	7.50E-02	1.56E-02	8.80E-02	1.73E-02
8.28E-02	0.4113767045	-0.1631623043	0.3357111505	-0.1455418884	7.55E-02	1.58E-02	8.86E-02	1.75E-02
8.31E-02	0.4117636333	-0.1638383582	0.3360157589	-0.1461429057	7.60E-02	1.59E-02	8.93E-02	1.76E-02
8.35E-02	0.4121441604	-0.1645171375	0.3363150045	-0.1467463201	7.66E-02	1.60E-02	8.99E-02	1.78E-02
8.38E-02	0.4125182246	-0.1651986522	0.336608836	-0.14735214	7.71E-02	1.61E-02	9.05E-02	1.79E-02
8.42E-02	0.4128857642	-0.1658829126	0.336897202	-0.1479603743	7.77E-02	1.63E-02	9.12E-02	1.81E-02
8.45E-02	0.4132467176	-0.1665699289	0.3371800508	-0.1485710314	7.82E-02	1.64E-02	9.18E-02	1.82E-02
8.49E-02	0.4136010227	-0.1672597112	0.3374573307	-0.1491841201	7.88E-02	1.66E-02	9.25E-02	1.84E-02
8.52E-02	0.4139486173	-0.16795227	0.3377289894	-0.1497996489	7.93E-02	1.67E-02	9.31E-02	1.85E-02
8.56E-02	0.4142894387	-0.1686476155	0.3379949749	-0.1504176268	7.99E-02	1.68E-02	9.38E-02	1.87E-02
8.60E-02	0.4146234243	-0.1693457579	0.3382552346	-0.1510380622	8.04E-02	1.70E-02	9.44E-02	1.88E-02
8.63E-02	0.4149505111	-0.1700467078	0.3385097158	-0.151660964	8.10E-02	1.71E-02	9.51E-02	1.90E-02
8.67E-02	0.4152706358	-0.1707504754	0.3387583656	-0.152286341	8.16E-02	1.73E-02	9.58E-02	1.91E-02
8.70E-02	0.4155837349	-0.1714570711	0.3390011311	-0.1529142017	8.21E-02	1.74E-02	9.64E-02	1.93E-02
8.74E-02	0.4158897447	-0.1721665054	0.3392379588	-0.1535445552	8.27E-02	1.75E-02	9.71E-02	1.95E-02
8.78E-02	0.4161886014	-0.1728787887	0.3394687954	-0.1541774101	8.33E-02	1.77E-02	9.78E-02	1.96E-02
8.81E-02	0.4164802406	-0.1735939316	0.3396935872	-0.1548127753	8.39E-02	1.78E-02	9.85E-02	1.98E-02
8.85E-02	0.416764598	-0.1743119444	0.3399122802	-0.1554506596	8.45E-02	1.80E-02	9.92E-02	1.99E-02
8.89E-02	0.417041609	-0.1750328379	0.3401248205	-0.1560910718	8.51E-02	1.81E-02	9.99E-02	2.01E-02
8.93E-02	0.4173112087	-0.1757566225	0.3403311538	-0.1567340208	8.57E-02	1.83E-02	0.1005670262	2.03E-02
8.96E-02	0.417573332	-0.1764833088	0.3405312256	-0.1573795155	8.63E-02	1.84E-02	0.1012694365	2.05E-02
9.00E-02	0.4178279135	-0.1772129074	0.3407249813	-0.1580275649	8.69E-02	1.86E-02	0.1019761946	2.06E-02
9.04E-02	0.4180748878	-0.177945429	0.3409123661	-0.1586781777	8.75E-02	1.87E-02	0.1026873211	2.08E-02
9.08E-02	0.418314189	-0.1786808843	0.341093325	-0.1593313629	8.81E-02	1.89E-02	0.1034028367	2.10E-02
9.11E-02	0.4185457512	-0.1794192838	0.3412678027	-0.1599871295	8.87E-02	1.91E-02	0.1041227621	2.11E-02
9.15E-02	0.4187695082	-0.1801606384	0.3414357439	-0.1606454865	8.93E-02	1.92E-02	0.1048471179	2.13E-02
9.19E-02	0.4189853936	-0.1809049589	0.3415970931	-0.1613064427	8.99E-02	1.94E-02	0.105575925	2.15E-02
9.23E-02	0.4191933408	-0.1816522558	0.3417517945	-0.1619700073	9.06E-02	1.95E-02	0.1063092041	2.17E-02
9.27E-02	0.4193932828	-0.1824025401	0.3418997921	-0.1626361891	9.12E-02	1.97E-02	0.1070469759	2.18E-02
9.31E-02	0.4195851528	-0.1831558226	0.3420410299	-0.1633049972	9.18E-02	1.99E-02	0.1077892613	2.20E-02
9.35E-02	0.4197688833	-0.1839121141	0.3421754516	-0.1639764407	9.25E-02	2.00E-02	0.1085360811	2.22E-02
9.38E-02	0.4199444071	-0.1846714254	0.3423030008	-0.1646505285	9.31E-02	2.02E-02	0.1092874561	2.24E-02
9.42E-02	0.4201116563	-0.1854337676	0.3424236208	-0.1653272698	9.37E-02	2.04E-02	0.1100434071	2.26E-02
9.46E-02	0.4202705632	-0.1861991514	0.3425372549	-0.1660066736	9.44E-02	2.05E-02	0.110803955	2.28E-02
9.50E-02	0.4204210597	-0.1869675878	0.3426438461	-0.166688749	9.50E-02	2.07E-02	0.1115691208	2.30E-02
9.54E-02	0.4205630775	-0.1877390877	0.3427433372	-0.167373505	9.57E-02	2.09E-02	0.1123389252	2.31E-02
9.58E-02	0.4206965483	-0.1885136623	0.3428356711	-0.1680609509	9.64E-02	2.10E-02	0.1131133892	2.33E-02
9.62E-02	0.4208214033	-0.1892913224	0.3429207902	-0.1687510957	9.70E-02	2.12E-02	0.1138925337	2.35E-02
9.66E-02	0.4209375738	-0.1900720791	0.342998637	-0.1694439485	9.77E-02	2.14E-02	0.1146763795	2.37E-02
9.70E-02	0.4210449908	-0.1908559435	0.3430691537	-0.1701395185	9.84E-02	2.16E-02	0.1154649477	2.39E-02
9.74E-02	0.421143585	-0.1916429267	0.3431322824	-0.1708378148	9.90E-02	2.18E-02	0.1162582592	2.41E-02
9.79E-02	0.4212332871	-0.1924330396	0.343187965	-0.1715388467	9.97E-02	2.19E-02	0.1170563348	2.43E-02
9.83E-02	0.4213140276	-0.1932262936	0.3432361434	-0.1722426232	0.1004121246	2.21E-02	0.1178591955	2.45E-02
9.87E-02	0.4213857368	-0.1940226996	0.3432767591	-0.1729491537	0.1011013196	2.23E-02	0.1186668624	2.47E-02
9.91E-02	0.4214483447	-0.194822269	0.3433097536	-0.1736584472	0.1017946518	2.25E-02	0.1194793562	2.49E-02
9.95E-02	0.4215017813	-0.1956250128	0.3433350683	-0.174370513	0.1024921394	2.27E-02	0.120296698	2.51E-02
9.99E-02	0.4215459763	-0.1964309423	0.3433526444	-0.1750853603	0.1031938006	2.29E-02	0.1211189087	2.53E-02
0.1003399465	0.4215808595	-0.1972400688	0.3433624229	-0.1758029983	0.1038996538	2.31E-02	0.1219460092	2.56E-02
0.1007601955	0.4216063602	-0.1980524034	0.3433643448	-0.1765234363	0.1046097172	2.32E-02	0.1227780205	2.58E-02
0.1011821992	0.4216224078	-0.1988679575	0.343358351	-0.1772466835	0.1053240091	2.34E-02	0.1236149635	2.60E-02
0.101605965	0.4216289313	-0.1996867423	0.343344382	-0.1779727492	0.1060425478	2.36E-02	0.1244568591	2.62E-02
0.1020315001	0.4216258599	-0.2005087692	0.3433223784	-0.1787016426	0.1067653515	2.38E-02	0.1253037282	2.64E-02
0.102458812	0.4216131222	-0.2013340496	0.3432922806	-0.179433373	0.1074924386	2.40E-02	0.1261555917	2.66E-02
0.1028879081	0.4215906471	-0.2021625947	0.3432540289	-0.1801679497	0.1082238274	2.42E-02	0.1270124706	2.69E-02
0.1033187958	0.4215583631	-0.2029944159	0.3432075634	-0.180905382	0.108959536	2.44E-02	0.1278743856	2.71E-02
0.1037514826	0.4215161986	-0.2038295248	0.3431528244	-0.1816456791	0.1096995827	2.46E-02	0.1287413577	2.73E-02
0.104185976	0.4214640819	-0.2046679326	0.3430897516	-0.1823888503	0.1104439859	2.48E-02	0.1296134078	2.75E-02
0.1046222836	0.4214019411	-0.2055096508	0.3430182849	-0.183134905	0.1111927638	2.50E-02	0.1304905565	2.78E-02
0.1050604129	0.4213297043	-0.2063546909	0.342938364	-0.1838838525	0.1119459346	2.52E-02	0.1313728248	2.80E-02
0.1055003716	0.4212472994	-0.2072030643	0.3428499285	-0.184635702	0.1127035165	2.55E-02	0.1322602335	2.82E-02
0.1059421673	0.4211546542	-0.2080547826	0.3427529181	-0.1853904629	0.1134655279	2.57E-02	0.1331528033	2.84E-02
0.1063858076	0.4210516963	-0.2089098572	0.342647272	-0.1861481446	0.1142319868	2.59E-02	0.1340505549	2.87E-02
0.1068313003	0.4209383534	-0.2097682998	0.3425329295	-0.1869087562	0.1150029115	2.61E-02	0.1349535091	2.89E-02
0.107278653	0.4208145528	-0.2106301217	0.34240983	-0.1876723073	0.1157783202	2.63E-02	0.1358616865	2.92E-02
0.1077278737	0.4206802218	-0.2114953347	0.3422779126	-0.1884388071	0.1165582311	2.65E-02	0.1367751079	2.94E-02
0.10817897	0.4205352878	-0.2123639503	0.3421371162	-0.1892082649	0.1173426622	2.67E-02	0.1376937939	2.96E-02
0.1086319497	0.4203796779	-0.21323598	0.3419873799	-0.18998069	0.1181316318	2.70E-02	0.138617765	2.99E-02
0.1090868209	0.4202133191	-0.2141114355	0.3418286426	-0.190756092	0.1189251579	2.72E-02	0.1395470419	3.01E-02
0.1095435912	0.4200361383	-0.2149903285	0.341660843	-0.1915344799	0.1197232587	2.74E-02	0.140481645	3.04E-02
0.1100022688	0.4198480625	-0.2158726705	0.3414839199	-0.1923158633	0.1205259522	2.76E-02	0.1414215949	3.06E-02
0.1104628615	0.4196490185	-0.2167584733	0.341297812	-0.1931002514	0.1213332564	2.79E-02	0.1423669119	3.09E-02
0.1109253774	0.4194389328	-0.2176477485	0.3411024578	-0.1938876537	0.1221451893	2.81E-02	0.1433176167	3.11E-02
0.1113898244	0.4192177323	-0.2185405079	0.340897796	-0.1946780793	0.1229617691	2.83E-02	0.1442737294	3.14E-02
0.1118562106	0.4189853434	-0.219436763	0.3406837649	-0.1954715378	0.1237830135	2.86E-02	0.1452352704	3.17E-02
0.1123245442	0.4187416927	-0.2203365257	0.340460303	-0.1962680384	0.1246089406	2.88E-02	0.1462022601	3.19E-02
0.1127948332	0.4184867066	-0.2212398076	0.3402273487	-0.1970675904	0.1254395682	2.90E-02	0.1471747185	3.22E-02
0.1132670859	0.4182203115	-0.2221466206	0.3399848404	-0.1978702032	0.1262749142	2.93E-02	0.1481526661	3.24E-02
0.1137413104	0.4179424337	-0.2230569764	0.3397327162	-0.1986758862	0.1271149965	2.95E-02	0.1491361227	3.27E-02
0.1142175149	0.4176529995	-0.2239708867	0.3394709144	-0.1994846487	0.1279598328	2.98E-02	0.1501251086	3.30E-02
0.1146957078	0.4173519352	-0.2248883634	0.3391993733	-0.2002964999	0.1288094409	3.00E-02	0.1511196437	3.33E-02
0.1151758973	0.417039167	-0.2258094182	0.338918031	-0.2011114492	0.1296638385	3.03E-02	0.152119748	3.35E-02
0.1156580918	0.416714621	-0.2267340629	0.3386268257	-0.201929506	0.1305230433	3.05E-02	0.1531254415	3.38E-02
0.1161422996	0.4163782235	-0.2276623094	0.3383256954	-0.2027506796	0.131387073	3.08E-02	0.1541367439	3.41E-02
0.1166285291	0.4160299004	-0.2285941696	0.3380145783	-0.2035749792	0.132255945	3.10E-02	0.1551536749	3.44E-02
0.1171167888	0.415669578	-0.2295296551	0.3376934125	-0.2044024141	0.1331296771	3.13E-02	0.1561762545	3.46E-02
0.1176070872	0.4152971824	-0.230468778	0.3373621361	-0.2052329937	0.1340082866	3.15E-02	0.157204502	3.49E-02
0.1180994328	0.4149126395	-0.23141155	0.3370206871	-0.2060667272	0.134891791	3.18E-02	0.1582384373	3.52E-02
0.118593834	0.4145158756	-0.232357983	0.3366690036	-0.2069036239	0.1357802077	3.20E-02	0.1592780796	3.55E-02
0.1190902996	0.4141068166	-0.2333080889	0.3363070236	-0.2077436931	0.1366735541	3.23E-02	0.1603234485	3.58E-02
0.1195888381	0.4136853887	-0.2342618795	0.3359346853	-0.208586944	0.1375718475	3.26E-02	0.1613745633	3.61E-02
0.1200894582	0.413251518	-0.2352193669	0.3355519267	-0.2094333859	0.138475105	3.28E-02	0.1624314432	3.64E-02
0.1205921685	0.4128051305	-0.2361805628	0.3351586859	-0.210283028	0.139383344	3.31E-02	0.1634941075	3.67E-02
0.1210969779	0.4123461525	-0.2371454792	0.3347549011	-0.2111358796	0.1402965814	3.34E-02	0.1645625752	3.70E-02
0.121603895	0.4118745101	-0.2381141279	0.3343405104	-0.2119919498	0.1412148343	3.37E-02	0.1656368653	3.73E-02
0.1221129286	0.4113901295	-0.239086521	0.333915452	-0.2128512478	0.1421381198	3.39E-02	0.1667169969	3.76E-02
0.1226240877	0.410892937	-0.2400626702	0.3334796641	-0.2137137829	0.1430664548	3.42E-02	0.1678029886	3.79E-02
0.123137381	0.4103828588	-0.2410425876	0.3330330849	-0.2145795642	0.1439998562	3.45E-02	0.1688948593	3.82E-02
0.1236528176	0.4098598213	-0.2420262851	0.3325756527	-0.2154486009	0.1449383407	3.48E-02	0.1699926276	3.85E-02
0.1241704062	0.4093237508	-0.2430137746	0.3321073059	-0.2163209021	0.145881925	3.51E-02	0.171096312	3.89E-02
0.124690156	0.4087745739	-0.244005068	0.3316279829	-0.2171964769	0.1468306259	3.54E-02	0.172205931	3.92E-02
0.1252120759	0.4082122171	-0.2450001773	0.3311376222	-0.2180753345	0.1477844599	3.57E-02	0.173321503	3.95E-02
0.125736175	0.4076366069	-0.2459991144	0.3306361622	-0.2189574839	0.1487434435	3.59E-02	0.1744430461	3.98E-02
0.1262624624	0.40704767	-0.2470018913	0.3301235415	-0.2198429343	0.1497075932	3.62E-02	0.1755705785	4.02E-02
0.1267909473	0.4064453332	-0.2480085198	0.3295996988	-0.2207316946	0.1506769252	3.65E-02	0.1767041183	4.05E-02
0.1273216387	0.4058295234	-0.249019012	0.3290645729	-0.2216237738	0.1516514559	3.68E-02	0.1778436833	4.08E-02
0.127854546	0.4052001674	-0.2500333798	0.3285181026	-0.2225191812	0.1526312014	3.71E-02	0.1789892913	4.11E-02
0.1283896784	0.4045571925	-0.2510516351	0.3279602267	-0.2234179255	0.1536161778	3.75E-02	0.18014096	4.15E-02
0.1289270452	0.4039005256	-0.2520737899	0.3273908844	-0.2243200157	0.1546064012	3.78E-02	0.1812987069	4.18E-02
0.1294666556	0.4032300942	-0.253099856	0.3268100147	-0.2252254609	0.1556018874	3.81E-02	0.1824625496	4.22E-02
