distance	O_AE_s1	O_pp_s1	O_AE_s2	O_pp_s2	O_AE_p1	O_pp_p1	O_AE_p2	O_pp_p2
1.03E-04	1.06E-03	-2.05E-04	8.64E-04	-1.83E-04	2.37E-07	2.47E-08	2.78E-07	2.74E-08
1.05E-04	1.07E-03	-2.08E-04	8.79E-04	-1.86E-04	2.44E-07	2.55E-08	2.87E-07	2.83E-08
1.07E-04	1.09E-03	-2.11E-04	8.93E-04	-1.89E-04	2.52E-07	2.64E-08	2.96E-07	2.93E-08
1.08E-04	1.11E-03	-2.15E-04	9.08E-04	-1.92E-04	2.59E-07	2.72E-08	3.05E-07	3.02E-08
1.10E-04	1.13E-03	-2.18E-04	9.22E-04	-1.95E-04	2.67E-07	2.81E-08	3.14E-07	3.12E-08
1.12E-04	1.14E-03	-2.22E-04	9.37E-04	-1.98E-04	2.75E-07	2.90E-08	3.23E-07	3.22E-08
1.14E-04	1.16E-03	-2.25E-04	9.51E-04	-2.01E-04	2.83E-07	2.99E-08	3.33E-07	3.32E-08
1.15E-04	1.18E-03	-2.29E-04	9.66E-04	-2.04E-04	2.91E-07	3.09E-08	3.43E-07	3.43E-08
1.17E-04	1.20E-03	-2.32E-04	9.81E-04	-2.08E-04	3.00E-07	3.18E-08	3.52E-07	3.54E-08
1.19E-04	1.22E-03	-2.36E-04	9.96E-04	-2.11E-04	3.08E-07	3.28E-08	3.62E-07	3.64E-08
1.21E-04	1.23E-03	-2.39E-04	1.01E-03	-2.14E-04	3.17E-07	3.38E-08	3.73E-07	3.75E-08
1.23E-04	1.25E-03	-2.43E-04	1.03E-03	-2.17E-04	3.26E-07	3.48E-08	3.83E-07	3.87E-08
1.24E-04	1.27E-03	-2.47E-04	1.04E-03	-2.20E-04	3.35E-07	3.59E-08	3.93E-07	3.98E-08
1.26E-04	1.29E-03	-2.50E-04	1.06E-03	-2.23E-04	3.44E-07	3.69E-08	4.04E-07	4.10E-08
1.28E-04	1.31E-03	-2.54E-04	1.07E-03	-2.27E-04	3.53E-07	3.80E-08	4.15E-07	4.22E-08
1.30E-04	1.33E-03	-2.57E-04	1.09E-03	-2.30E-04	3.62E-07	3.91E-08	4.26E-07	4.34E-08
1.32E-04	1.35E-03	-2.61E-04	1.10E-03	-2.33E-04	3.72E-07	4.02E-08	4.37E-07	4.46E-08
1.34E-04	1.36E-03	-2.65E-04	1.12E-03	-2.36E-04	3.82E-07	4.13E-08	4.49E-07	4.59E-08
1.35E-04	1.38E-03	-2.68E-04	1.13E-03	-2.40E-04	3.91E-07	4.25E-08	4.60E-07	4.72E-08
1.37E-04	1.40E-03	-2.72E-04	1.15E-03	-2.43E-04	4.01E-07	4.37E-08	4.72E-07	4.85E-08
1.39E-04	1.42E-03	-2.76E-04	1.16E-03	-2.46E-04	4.12E-07	4.48E-08	4.84E-07	4.98E-08
1.41E-04	1.44E-03	-2.79E-04	1.18E-03	-2.50E-04	4.22E-07	4.61E-08	4.96E-07	5.11E-08
1.43E-04	1.46E-03	-2.83E-04	1.20E-03	-2.53E-04	4.32E-07	4.73E-08	5.08E-07	5.25E-08
1.45E-04	1.48E-03	-2.87E-04	1.21E-03	-2.56E-04	4.43E-07	4.86E-08	5.21E-07	5.39E-08
1.47E-04	1.50E-03	-2.91E-04	1.23E-03	-2.60E-04	4.54E-07	4.98E-08	5.33E-07	5.53E-08
1.49E-04	1.52E-03	-2.94E-04	1.24E-03	-2.63E-04	4.65E-07	5.11E-08	5.46E-07	5.68E-08
1.50E-04	1.54E-03	-2.98E-04	1.26E-03	-2.66E-04	4.76E-07	5.25E-08	5.59E-07	5.83E-08
1.52E-04	1.56E-03	-3.02E-04	1.27E-03	-2.70E-04	4.87E-07	5.38E-08	5.73E-07	5.98E-08
