pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Ii{0} Ii{-1} Ii{1} IsubO{1} IsubO{2} IsubO{3} IsubZr{-3} IsubZr{-4} IsubZr{-5} Stoich
-33 3.09414651825121 -1.48723154801675 -8.36245147076207 -1.24192839563514 -1.76985271348771 -2.30378724624496 -14.4013682673263 -23.8658999593892 -33.4674761122508 -43.0925001142698 -56.0674610902249 -14.0495743197193 -20.7641261284995 -30.115822211916 -10.9057504901128 -9.74575997130029 -8.63643210659084 -10.0393628005068 -11.44622060083 -19.7520060173926 -16.2995388827681 -19.0995694884048 -3.00000007512649 -9.76174604791971 -14.4036563873339 -23.8172874749005 -27.6078105171612 -27.2595625830399 -0.317427492518549 
-32.8 3.08018631583987 -1.53413576842645 -8.31554725035238 -1.24729625299602 -1.82212479125829 -2.40296354442523 -14.3889851489651 -23.8066126206183 -33.3612845530702 -42.9394043346795 -55.8674610902249 -14.0433827602986 -20.7110303486692 -30.0158222116759 -10.9181336082339 -9.80504730983114 -8.74262366553139 -10.192458579857 -11.6462206005899 -19.6997339482543 -16.2941710340395 -19.0003931988568 -3.00000008399884 -9.714841836382 -14.3098479553869 -23.7057280672314 -27.5431553299018 -27.2418116161901 -0.337613972512061 
-32.6 3.06615871192926 -1.58126644792923 -8.26841657084959 -1.2523211966828 -1.87428041444785 -2.50224984711758 -14.3775078669763 -23.7480046591266 -33.2555459120758 -42.7865350141823 -55.667461090225 -14.0376441191171 -20.6581610279849 -29.9158222114888 -10.9296108900357 -9.86365527113565 -8.84836230633868 -10.3453279001671 -11.8462206004028 -19.6475783343412 -16.2891460996291 -18.9011069054409 -3.00000009346239 -9.66771116634315 -14.2155866058449 -23.5949644920138 -27.4795224341869 -27.2253093999781 -0.355930007775878 
-32.4 3.05206675276274 -1.6286133515969 -8.22106966718193 -1.25700746859716 -1.92631359002988 -2.60162992636727 -14.366895481647 -23.6900453701296 -33.1502397194112 -42.63388191785 -55.467461090225 -14.0323379263063 -20.6055079315064 -29.8158222113427 -10.9402232752188 -9.92161455998645 -8.95366849885715 -10.4979809963532 -12.0462206002566 -19.5955451694446 -16.2844598384002 -18.8017268368767 -3.00000010429403 -9.62036427350673 -14.1208928093412 -23.4849720382664 -27.4168768841072 -27.210010753566 -0.372517390807592 
-32.2 3.03791353882434 -1.67616606226053 -8.17351695651829 -1.26136232290514 -1.97822115500149 -2.70109020200252 -14.3571063243015 -23.6327035021206 -33.0453451407385 -42.4814346285136 -55.267461090225 -14.0274433475191 -20.5530606420555 -29.7158222112282 -10.9500124324498 -9.97895642788108 -9.05856307741541 -10.6504282855751 -12.2462206001421 -19.5436376162997 -16.2801049959189 -18.7022665730681 -3.00000011623518 -9.57281157478464 -14.0257873999551 -23.3757226172268 -27.3551801737313 -27.1958667538537 -0.387513904180399 
-32 3.02370222572907 -1.72391397751927 -8.12576904125956 -1.26539556427683 -2.03000231163192 -2.80061927389168 -14.3480979853365 -23.5759472478968 -32.940840971256 -42.3291825437724 -55.067461090225 -14.0229391779467 -20.5008085572245 -29.6158222111384 -10.959020771325 -10.035712682015 -9.1630672468081 -10.8026803702265 -12.4462206000523 -19.4918564728215 -16.2760717676995 -18.6027375143312 -3.00000012947724 -9.52506367276757 -13.9302915826796 -23.2671852196147 -27.2943906913779 -27.1828251867591 -0.401051744071949 
-31.8 3.00943601248559 -1.77184634917605 -8.07783666960278 -1.26911908768355 -2.08165820669542 -2.90020754061196 -14.3398274719636 -23.5197443628672 -32.8367057145695 -42.1771149154292 -54.867461090225 -14.0188039211897 -20.4487409288106 -29.5158222110678 -10.9672912846273 -10.091915566974 -9.2672025034239 -10.9547479984991 -12.6462205999816 -19.4402005929694 -16.2723482595041 -18.5031492628223 -3.00000014475923 -9.47713131639317 -13.8344268546481 -23.1593264548036 -27.2344642982235 -27.1708311652615 -0.413256429918959 
-31.6 2.99511812145145 -1.81995235058483 -8.02973066819399 -1.27254643271286 -2.13319155313351 -2.99984688845884 -14.3322514775988 -23.4640623670935 -32.7329177173871 -42.025220916838 -54.6674610902251 -14.0150159239516 -20.3968469301638 -29.4158222110121 -10.9748672789364 -10.147597562692 -9.37099050055064 -11.1066419970346 -12.8462205999259 -19.3886672630215 -16.268920930965 -18.4035099314656 -3.0000001613051 -9.42902533152987 -13.7382148683764 -23.0521111291377 -27.1753549739665 -27.1598278424132 -0.424246114683283 
-31.4 2.98075177354855 -1.86822115992336 -7.98146185885546 -1.27569236318634 -2.18460629294552 -3.09953043760938 -14.3253267149529 -23.4088687951091 -32.6294553360642 -41.8734897261766 -54.4674610902251 -14.0115535425847 -20.3451157394583 -29.3158222109682 -10.9817920415383 -10.2027911346324 -9.47445288182959 -11.2583731876521 -13.0462205998819 -19.3372525426473 -16.2657750199294 -18.3038264017529 -3.00000018078689 -9.38075654167351 -13.6416772691811 -22.9455028368231 -27.1170154909904 -27.1497571687757 -0.434131215892921 
-31.2 2.96634016161512 -1.91664204972616 -7.93304096905266 -1.27857248064651 -2.23590730020849 -3.19925233467516 -14.3190102741642 -23.3541314645176 -32.5262971156698 -41.7219106159794 -54.2674610902251 -14.0083953221555 -20.2935366292263 -29.2158222109334 -10.9881084822923 -10.2575284651892 -9.57761110218916 -11.4099522978145 -13.2462205998471 -19.2859515566964 -16.2628949237813 -18.2041045259993 -3.00000020213381 -9.33233567321725 -13.5448355109224 -22.8394645203155 -27.0593980642856 -27.1405606318736 -0.44301429624706 
