distance	Zr_AE_s1	Zr_pp_s1	Zr_AE_s2	Zr_pp_s2	Zr_AE_p1	Zr_pp_p1	Zr_AE_p2	Zr_pp_p2	Zr_AE_d1	Zr_pp_d1	Zr_AE_d2	Zr_pp_d2
1.19E-05	4.37E-04	-2.54E-05	1.59E-04	-1.19E-05	1.63E-07	2.18E-10	7.58E-08	1.09E-10	3.16E-12	-1.21E-15	3.34E-12	-1.30E-15
1.22E-05	4.48E-04	-2.61E-05	1.63E-04	-1.22E-05	1.71E-07	2.29E-10	7.95E-08	1.14E-10	3.40E-12	-1.30E-15	3.59E-12	-1.40E-15
1.25E-05	4.59E-04	-2.68E-05	1.67E-04	-1.25E-05	1.79E-07	2.41E-10	8.32E-08	1.20E-10	3.65E-12	-1.41E-15	3.85E-12	-1.51E-15
1.28E-05	4.71E-04	-2.74E-05	1.71E-04	-1.29E-05	1.87E-07	2.53E-10	8.71E-08	1.26E-10	3.91E-12	-1.51E-15	4.13E-12	-1.62E-15
1.31E-05	4.82E-04	-2.81E-05	1.75E-04	-1.32E-05	1.96E-07	2.66E-10	9.11E-08	1.32E-10	4.18E-12	-1.63E-15	4.42E-12	-1.75E-15
1.34E-05	4.93E-04	-2.88E-05	1.80E-04	-1.35E-05	2.05E-07	2.79E-10	9.51E-08	1.39E-10	4.47E-12	-1.75E-15	4.72E-12	-1.88E-15
1.37E-05	5.05E-04	-2.94E-05	1.84E-04	-1.38E-05	2.14E-07	2.92E-10	9.93E-08	1.46E-10	4.76E-12	-1.87E-15	5.03E-12	-2.01E-15
1.40E-05	5.16E-04	-3.01E-05	1.88E-04	-1.41E-05	2.23E-07	3.05E-10	1.04E-07	1.52E-10	5.08E-12	-2.01E-15	5.36E-12	-2.15E-15
1.44E-05	5.27E-04	-3.08E-05	1.92E-04	-1.44E-05	2.32E-07	3.19E-10	1.08E-07	1.59E-10	5.40E-12	-2.15E-15	5.71E-12	-2.30E-15
1.47E-05	5.39E-04	-3.15E-05	1.96E-04	-1.48E-05	2.42E-07	3.34E-10	1.12E-07	1.66E-10	5.74E-12	-2.29E-15	6.07E-12	-2.46E-15
1.50E-05	5.50E-04	-3.22E-05	2.00E-04	-1.51E-05	2.51E-07	3.49E-10	1.17E-07	1.74E-10	6.10E-12	-2.44E-15	6.44E-12	-2.62E-15
1.53E-05	5.62E-04	-3.29E-05	2.04E-04	-1.54E-05	2.61E-07	3.64E-10	1.21E-07	1.81E-10	6.47E-12	-2.61E-15	6.83E-12	-2.80E-15
