pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Tei{0} Tei{-1} Tei{1} TesubO{1} TesubO{2} TesubO{3} TesubZr{-3} TesubZr{-4} TesubZr{-5} Stoich
-30.2 3.01435551901932 -1.75531753304816 -8.09436548573066 -2.09007089232175 -2.88608119520573 -3.68810171299439 -12.6737122074516 -21.870157914483 -31.2036480823133 -40.5605860993008 -53.2674610902245 -13.1857462886608 -19.6322121124097 -28.7158222107947 -12.6334065488664 -11.7415020150853 -10.9002601354073 -12.5712768143546 -14.2462205997092 -13.480226285087 -18.738458272476 -20.9213519898265 -5.12472732074085 -5.60269502121104 -11.784222407187 -21.3364718110829 -19.7789900835386 -27.9409221183701 -1.2376828306076 
-30 3.00421312367143 -1.78939448500503 -8.06028853377379 -2.12174326461192 -2.95183051945277 -3.7879279891983 -12.6100200152799 -21.7723887703544 -31.0718019862278 -40.3946630512585 -53.0674610902253 -13.1539001925729 -19.5662890643649 -28.6158222107931 -12.6970987410365 -11.8392711592123 -11.0321062314911 -12.7371998623953 -14.4462205997068 -13.4232374965726 -18.7155464359185 -20.8302862493551 -5.13348785647509 -5.57737860498841 -11.7248290390072 -21.1817138784415 -19.6583091028541 -27.8543180896425 -1.27511933274727 
-29.8 2.99408679217959 -1.82341746477568 -8.02626555400314 -2.15353942419372 -3.01764965880522 -3.8877701083214 -12.5461119343617 -21.6744577096656 -30.9398479457684 -40.2286860310284 -52.8674610902246 -13.121946152113 -19.5003120441344 -28.5158222107919 -12.7610068219534 -11.9372022198999 -11.1640602719494 -12.9031768826242 -14.6462205997063 -13.3666839792812 -18.6930158983978 -20.7397097522931 -5.14275347853739 -5.55262124728006 -11.6660487015286 -21.0272293004626 -19.5378475046458 -27.7678794712048 -1.31220399977715 
-29.6 2.98397550517075 -1.85738989730309 -7.99229312147573 -2.18545085224585 -3.08353351938476 -3.98762640142835 -12.4820016644722 -21.5763750072487 -30.807792810824 -40.0626584635566 -52.6674610902254 -13.089891017167 -19.4342844766609 -28.415822210791 -12.8251170918421 -12.0352849223159 -11.2961154068928 -13.0692044500951 -14.8462205997046 -13.3105882627792 -18.6708926144232 -20.6496416032637 -5.15254162261584 -5.52843695883109 -11.6078919805518 -20.8730508815445 -19.4176415182552 -27.6816459173416 -1.3489677431351 
-29.4 2.97387830428079 -1.89131500254933 -7.95836801622949 -2.21746964855961 -3.14947742094476 -4.08749540823459 -12.4177020854564 -21.4781503229867 -30.6756430213158 -39.8965835688021 -52.4674610902247 -13.0577412276588 -19.3682095819065 -28.3158222107903 -12.8894166708572 -12.1335096065773 -11.4282651964004 -13.2352793448489 -15.0462205997047 -13.2549715749246 -18.6492010318148 -20.5600998101629 -5.16286883632191 -5.50483906729093 -11.5503689837658 -20.7192095094286 -19.2977252513855 -27.5956547557182 -1.38543873986244 
-29.2 2.96379429097215 -1.92519579946805 -7.92448721931077 -2.249588493077 -3.21547706238087 -4.18737584658942 -12.3532252731321 -21.3797927137436 -30.543404615154 -39.7304643657217 -52.2674610902255 -13.0255028214957 -19.3020903788247 -28.2158222107898 -12.9538934831811 -12.2318672158199 -11.5605036025617 -13.4013985479289 -15.2462205997034 -13.19985404213 -18.6279642959389 -20.4711014804495 -5.17375094496389 -5.48184037901419 -11.4934894985699 -20.5657343673914 -19.178130906267 -27.5099412075184 -1.42164264112731 
-29 2.9537226249995 -1.95903511115955 -7.89064790761927 -2.28180061007355 -3.28152849106891 -4.28726658696896 -12.2885825198974 -21.2813106488174 -30.4110832385363 -39.5643036774125 -52.0674610902248 -12.9931814448784 -19.2359296905158 -28.1158222107895 -13.0185362364154 -12.3303492807457 -11.6928249791791 -13.5675592362378 -15.4462205997038 -13.1452543889683 -18.6072039544687 -20.3826625155963 -5.18520272049057 -5.45945284284937 -11.437262650714 -20.4126526493038 -19.0588884998709 -27.4245381128138 -1.45760277434076 
-28.8 2.94366252256805 -1.99283557105873 -7.85684744772009 -2.31409973439779 -3.34762807529233 -4.38716663109156 -12.2237843594949 -21.1827120285158 -30.2786841583355 -39.3981041373125 -51.8674610902256 -12.9607823646765 -19.1697301504147 -28.0158222107892 -13.0833343968177 -12.4289479010471 -11.8252240593797 -13.7337587763376 -15.6462205997027 -13.0911899381726 -18.5869399635722 -20.2947976049015 -5.19723785391865 -5.43768751637827 -11.3816968643433 -20.2599895782069 -18.9400258886731 -27.3394759615152 -1.49334033668618 
-28.6 2.93361325434762 -2.02659962960735 -7.82308338917148 -2.34648008014434 -3.4137724795875 -4.48707509393535 -12.1588405936887 -21.0840042041609 -30.146212275432 -39.2318681958604 -51.6674610902249 -12.9283104817735 -19.1034942089632 -27.915822210789 -13.1482781626237 -12.5276557254018 -11.957695942283 -13.8999947177895 -15.8462205997033 -13.0376763102425 -18.5671903941907 -20.2075199184227 -5.20986863028387 -5.41655423419487 -11.3267995236117 -20.1077681259221 -18.821568494937 -27.2547826263277 -1.5288745777605 
-28.4 2.92357414333947 -2.06032956142132 -7.7893534573575 -2.37893631114877 -3.47995864240592 -4.58699118856774 -12.0937603209454 -20.9851939996037 -30.0136721390608 -39.0655981276752 -51.4674610902258 -12.8957703454013 -19.037224140777 -27.8158222107889 -13.2133584353669 -12.626465929959 -12.0902360786541 -14.0662647859746 -16.0462205997024 -12.9847274234432 -18.5479714392054 -20.1208410998095 -5.22310590630318 -5.3960615784002 -11.2725769360027 -19.9560090345657 -18.7035393353946 -27.1704833985993 -1.56422297074357 
-28.2 2.91354456265071 -2.09402747276821 -7.75565554601061 -2.41146351319284 -3.54618375579687 -4.68691421330559 -12.0285519663323 -20.8862877336437 -29.8810679617539 -38.8992960390214 -51.2674610902251 -12.863166168095 -18.9709220521238 -27.7158222107888 -13.27856678998 -12.7253721959189 -12.2228402559609 -14.2325668746283 -16.246220599703 -12.9323556940693 -18.5292976211783 -20.0347714590886 -5.23695929032025 -5.37621705107039 -11.2190344973263 -19.8047310392318 -18.5859592514076 -27.0866012259592 -1.59940137164584 
-28 2.90352393340163 -2.12769530859852 -7.7219877101803 -2.44405716904128 -3.61244524747561 -4.78684354081463 -11.9632233096544 -20.7872912411354 -29.7484036334154 -38.7329638748525 -51.0674610902259 -12.8305018397556 -18.904589887954 -27.6158222107887 -13.3438954466579 -12.8243686884271 -12.3555045842995 -14.3988990387972 -16.4462205997021 -12.8805713855896 -18.511181148529 -19.9493193147787 -5.25143647351946 -5.35702639843929 -11.1661760088646 -19.6539502382441 -18.4688462862501 -27.003156096632 -1.6344241652796 
-27.8 2.89351172252918 -2.16133485992537 -7.68834815885345 -2.47671313439331 -3.6787407641545 -4.88677860882037 -11.8977815149611 -20.6882098951153 -29.6156827360684 -38.5666034261787 -50.8674610902252 -12.7977809424092 -18.8382294392808 -27.5158222107887 -13.4093372413512 -12.9234500344473 -12.4882254816464 -14.565259487471 -16.6462205997028 -12.8293828589768 -18.493632173243 -19.864491236839 -5.26654346358557 -5.33849383717855 -11.1140038962774 -19.5036803656112 -18.3522159649441 -26.9201653266528 -1.66930440011791 
-27.6 2.88350744068339 -2.19494777089252 -7.6547352478863 -2.5094276158062 -3.74506815653454 -4.98671891216757 -11.8322331588306 -20.5890486280177 -29.4829085580036 -38.4002163371468 -50.6674610902261 -12.7650067643435 -18.771842350248 -27.4158222107886 -13.4748855974817 -13.022611301545 -12.6209996597113 -14.731646576503 -16.846220599702 -12.7787965727065 -18.4766587979399 -19.7802920396015 -5.28228456969532 -5.32062203232114 -11.0625191804524 -19.3539328122432 -18.2360813225433 -26.8376435952192 -1.70405391131557 
